dt,dt_traj,PredictTime,looprate,k_head,k_vel,thres_vel_time,thres_ang_time,d_scale,th_scale
0.5,0.1,3,2,1,1,3,3,1,1.875

joyvel,joyang,CandVel,CandAng,linadm,linsafe,angadm,angsafe,vel_h_cost,ang_h_cost,cost
0,0,-0.000250753,0.000460137,0,1,0,1,0.000313441,0.000306758,0.000620199
0,0,0,0,0,1,0,1,0,0,0
0,0,0.0997492,-0.74954,0,1,0.917816,0.0821844,0.124687,0.499693,1.08357
0,0,0.0997492,-0.59954,0,1,0.849795,0.150205,0.124687,0.399693,1.03452
0,0,0.0997492,-0.44954,0,1,0.685145,0.314855,0.124687,0.299693,0.904191
0,0,0.0997492,-0.29954,0,1,0.291515,0.708485,0.124687,0.199693,0.557681
0,0,0.0997492,-0.14954,0,1,0,1,0.124687,0.0996932,0.22438
0,0,0.0997492,0.000460137,0,1,0,1,0.124687,0.000306758,0.124993
0,0,0.0997492,0.15046,0,1,0,1,0.124687,0.100307,0.224993
0,0,0.0997492,0.30046,0,1,0,1,0.124687,0.200307,0.324993
0,0,0.0997492,0.45046,0,1,0.832509,0.167491,0.124687,0.300307,1.00749
0,0,0.0997492,0.60046,0,1,0.91844,0.0815598,0.124687,0.400307,1.07578
0,0,0.199749,-0.74954,0.00917688,0.990823,0.917816,0.0821844,0.249687,0.499693,1.21545
0,0,0.199749,-0.59954,0,1,0.901017,0.0989833,0.249687,0.399693,1.19027
0,0,0.199749,-0.44954,0,1,0.830311,0.169689,0.249687,0.299693,1.13085
0,0,0.199749,-0.29954,0,1,0.406853,0.593147,0.249687,0.199693,0.774987
0,0,0.199749,-0.14954,0,1,0,1,0.249687,0.0996932,0.34938
0,0,0.199749,0.000460137,0,1,0,1,0.249687,0.000306758,0.249993
0,0,0.199749,0.15046,0,1,0,1,0.249687,0.100307,0.349993
0,0,0.199749,0.30046,0,1,0.296461,0.703539,0.249687,0.200307,0.687071
0,0,0.199749,0.45046,0,1,0.832509,0.167491,0.249687,0.300307,1.13249
0,0,0.199749,0.60046,0,1,0.91844,0.0815598,0.249687,0.400307,1.20078
0,0,0.299749,-0.74954,0.568433,0.431567,0.994637,0.00536301,0.374687,0.499693,1.72745
0,0,0.299749,-0.59954,0.555411,0.444589,0.933031,0.0669695,0.374687,0.399693,1.68179
0,0,0.299749,-0.44954,0.497644,0.502356,0.830311,0.169689,0.374687,0.299693,1.56704
0,0,0.299749,-0.29954,0.342666,0.657334,0.599084,0.400916,0.374687,0.199693,1.2681
0,0,0.299749,-0.14954,1,0,0.855445,0.144555,0.374687,0.0996932,1.86986
0,0,0.299749,0.000460137,1,0,0.999555,0.000444816,0.374687,0.000306758,1.99956
0,0,0.299749,0.15046,1,0,0.854555,0.145445,0.374687,0.100307,1.86914
0,0,0.299749,0.30046,0,1,0.296461,0.703539,0.374687,0.200307,0.812071
0,0,0.299749,0.45046,0,1,0.832509,0.167491,0.374687,0.300307,1.25749
0,0,0.299749,0.60046,0,1,0.91844,0.0815598,0.374687,0.400307,1.32578
0,0,0.399749,-0.74954,1,0,0.275445,0.724555,0.499687,0.499693,1.6375
0,0,0.399749,-0.59954,1,0,0.420445,0.579555,0.499687,0.399693,1.65209
