dt,dt_traj,PredictTime,looprate,k_head,k_vel,thres_vel_time,thres_ang_time,d_scale,th_scale
0.2,0.1,3,5,1,1,3,3,1,2

timestep,pos.x,pos.y,adm,safe,vel_h_cost,ang_h_cost,cost,cal_vel.v,cal_val.w,joy_v,joy_w
11.632,4.10148,2.89837,0,1,0.0229314,0.000796002,0.0237274,0.781655,0.0019547,0.8,-0
11.833,4.08796,3.02741,0,1,0.0197894,0.228414,0.248203,0.784168,-0.298081,0.8,-1.5
12.032,4.07265,3.17997,0,1,0.0153409,0.244619,0.259959,0.787727,-0.254371,0.8,-1.5
12.233,4.06244,3.36346,0,1,0.0262326,0.231626,0.257858,0.779014,-0.28716,0.8,-1.5
12.433,4.06235,3.51944,0,1,0.0237933,0.258895,0.282688,0.780965,-0.214035,0.8,-1.5
12.634,4.06807,3.64894,0,1,0.0210996,0.29027,0.31137,0.78312,-0.133564,0.8,-1.5
12.834,4.0801,3.80495,0,1,0.0216832,0.292677,0.31436,0.782653,-0.127403,0.8,-1.5
13.035,4.09608,3.96087,0,1,0.0221848,0.299276,0.321461,0.782252,-0.110743,0.8,-1.5
13.235,4.11915,4.14244,0.348963,0.651037,0.457699,0.267546,0.821124,0.584521,-0.387754,0.218362,-1.5
13.435,4.13974,4.27788,0.286668,0.713332,0.472528,0.277412,0.821624,0.378023,-0.628485,-0,-1.5
13.636,4.15685,4.36893,0,1,1.36389,0.0167673,1.38066,0.291113,0.0153489,-0.8,0
13.835,4.17492,4.45309,0,1,1.07592,0.0674507,1.14337,0.0607333,-0.0130657,-0.8,0
14.038,4.1821,4.48118,0,1,1.04836,0.0998688,1.14823,0.0386862,-0.0125523,-0.8,0
14.238,4.18113,4.47822,0,1,1.10763,0.0842225,1.19186,0.0861062,0.0233301,-0.8,0
14.438,4.16732,4.43828,0,1,0.617965,1.17696,1.79492,-0.305628,-0.189888,-0.8,0
14.638,4.1369,4.36009,0,1,0,0,0,0,0,-0,-0
14.84,4.09194,4.25262,0,1,0,0.477465,0.477465,0,0,-0,-1.5
15.04,4.06764,4.19853,0,1,0,0.477465,0.477465,0,0,-0,-1.5
15.24,4.05945,4.18178,0,1,0.0396408,0.365164,0.404805,0.0317126,-0.352802,-0,-1.5
15.44,4.0607,4.18405,0,1,0.0498507,0.292954,0.342805,0.0398806,-0.579658,-0,-1.5
15.64,4.06449,4.19009,0,1,0.00146284,0.203161,0.204624,0.00117027,-0.861751,-0,-1.5
15.841,4.06521,4.19126,0,1,0.818454,0.0842872,0.902741,0.145237,-0.634097,0.8,-1.5
16.041,4.07798,4.20246,0,1,0.549241,0.170116,0.719357,0.360607,-0.290933,0.8,-0.116355
16.243,4.11252,4.22852,0,1,0.358448,0.161234,0.519682,0.513241,-0.284753,0.8,-0
16.441,4.16806,4.26358,0,1,0.171314,0.123211,0.294525,0.662949,-0.270248,0.8,-0
16.643,4.26366,4.3146,0,1,0.0169869,0.110223,0.12721,0.78641,-0.283747,0.8,-0
16.842,4.3907,4.37293,0,1,0.0391916,0.106627,0.145819,0.768647,-0.267565,0.8,-0
17.044,4.53464,4.42768,0,1,0.039981,0.0769555,0.116937,0.768015,-0.189382,0.8,-0
17.243,4.68083,4.47543,0,1,0.0405319,0.0698542,0.110386,0.767574,-0.171204,0.8,-0
17.443,4.85336,4.52469,0,1,0.0475836,0.0756431,0.123227,0.761933,-0.184553,0.8,-0
17.645,5.00127,4.5615,0,1,0.0484583,0.0713494,0.119808,0.761233,-0.173547,0.8,-0
17.845,5.12462,4.58837,0,1,0.000307065,0.0802551,0.0805622,0.799754,-0.206025,0.8,-0
18.046,5.27805,4.61657,0,1,0.0106316,0.0674264,0.078058,0.791495,-0.170213,0.8,-0
18.247,5.43539,4.63935,0,1,0.0139628,0.0413962,0.055359,0.78883,-0.10317,0.8,-0
18.447,5.61892,4.66004,0,1,0.0134249,0.0385627,0.0519876,0.78926,-0.096088,0.8,-0
18.647,5.7492,4.67214,0,1,0.0172936,0.0287893,0.0460828,0.786165,-0.0712986,0.8,-0
18.848,5.90629,4.68433,0,1,0.0195418,0.0283007,0.0478425,0.784367,-0.0699218,0.8,-0
19.048,6.06298,4.69438,0,1,0.0177586,0.0476166,0.0653751,0.785793,-0.118433,0.8,-0
19.249,6.24644,4.70306,0,1,0.0142984,0.022755,0.0370534,0.788561,-0.0564679,0.8,-0
19.45,6.4041,4.70734,0,1,0.0101295,0.0235211,0.0336506,0.791896,-0.0586228,0.8,-0
