dt,dt_traj,PredictTime,looprate,k_head,k_vel,thres_vel_time,thres_ang_time,d_scale,th_scale
0.2,0.1,3,5,1,1,3,3,1,2

timestep,pos.x,pos.y,adm,safe,vel_h_cost,ang_h_cost,cost,cal_vel.v,cal_val.w,joy_v,joy_w
0.441,-0.000169974,-6.20987e-07,0,1,0.0512049,3.7209e-06,0.0512086,0.160025,-1.87062e-06,0.200989,0
0.449,-0.000169974,-6.20987e-07,0,1,0.0729212,3.7209e-06,0.0729249,0.160025,-1.87062e-06,0.218362,0
0.65,0.0106426,6.34575e-08,0,1,0.0180247,1.12516e-05,0.0180359,0.293562,1.03768e-05,0.279142,0
0.851,0.0585512,5.20663e-06,0,1,0.0150988,0.00309711,0.0181959,0.291221,0.00283363,0.279142,0
1.051,0.116836,2.56628e-05,0,1,0.0133357,0.00265759,0.0159933,0.289811,-0.0024197,0.279142,0
1.251,0.175213,7.48694e-05,0,1,0.0188072,0.0108031,0.0296104,0.294188,0.00998829,0.279142,0
1.452,0.233863,0.000143697,0,1,0.0197071,0.00960563,0.0293127,0.294908,0.00890213,0.279142,0
1.652,0.292746,0.000313071,0,1,0.0182571,0.00921885,0.0274759,0.293748,0.00850987,0.279142,0
1.852,0.351459,0.000579764,0,1,0.0172505,0.00146515,0.0187157,0.292943,0.00134839,0.279142,0
2.053,0.410447,0.000956434,0,1,0.0228631,0.0108786,0.0337417,0.297433,0.0101691,0.279142,0
2.254,0.46974,0.00138536,0,1,0.381155,0.00610651,0.387262,0.495076,0.00949879,0.8,0
2.453,0.53943,0.00200112,0,1,0.214972,0.0115822,0.226554,0.628022,0.0228617,0.8,0
2.654,0.644481,0.00241986,0,1,0.0132467,0.00260649,0.0158532,0.789403,-0.0064642,0.8,0
2.854,0.780799,0.00183738,0,1,0.00247498,0.00316893,0.00564391,0.79802,-0.00794495,0.8,0
3.055,0.939433,0.00158625,0,1,0.00231401,0.00301074,0.00532476,0.798149,-0.00754954,0.8,0
3.255,1.07227,0.0013755,0,1,0.0106041,0.00390908,0.0145131,0.791517,-0.0097209,0.8,0
3.455,1.25734,0.00139174,0,1,0.0132489,0.00365841,0.0169073,0.789401,-0.00907317,0.8,0
3.656,1.4154,0.00110821,0,1,0.0135591,0.00345066,0.0170097,0.789153,-0.0085552,0.8,0
3.856,1.57321,0.000560541,0,1,0.0105177,0.00294426,0.0134619,0.791586,-0.00732211,0.8,0
4.057,1.73137,-0.000235343,0,1,0.00978532,0.00278373,0.0125691,0.792172,-0.006928,0.8,0
4.257,1.8898,-0.00124868,0,1,0.00955653,0.00259992,0.0121564,0.792355,-0.006472,0.8,0
4.457,2.04822,-0.00246507,0,1,0.0070476,0.00227415,0.00932176,0.794362,-0.00567539,0.8,0
4.658,2.20696,-0.00387063,0,1,0.00654236,0.00213534,0.0086777,0.794766,-0.00533167,0.8,0
4.858,2.36591,-0.00544737,0,1,0.0561156,0.00210587,0.0582214,0.755108,-0.00499571,0.8,0
