dt,dt_traj,PredictTime,looprate,k_head,k_vel,thres_vel_time,thres_ang_time,d_scale,th_scale
0.2,0.1,3,5,1,1,2,2,1,0.85

timestep,pos.x,pos.y,linadm,linsafe,angadm,angsafe,vel_h_cost,ang_h_cost,cost,cal_vel.v,cal_val.w,joy_v,joy_w
11.751,4.55028,0.662842,0,1,0,1,0.0254258,0.147913,0.173339,0.762338,0.550235,0.782678,1.5
11.949,4.60711,0.804188,0,1,0,1,0.0108402,0.133514,0.144354,0.643757,0.600736,0.635084,1.5
12.164,4.64678,0.938985,0,1,0,1,0.00595801,0.107875,0.113833,0.526131,0.651856,0.530897,1.5
12.396,4.66927,1.0597,0,1,0,1,0.238574,0.10533,0.343904,0.348441,0.748712,0.157582,1.5
12.621,4.67781,1.16301,0,1,0,1,0.295261,0.101575,0.396837,0.237537,0.716806,0.00132739,1.5
12.824,4.67453,1.24313,0,1,0,1,0.091442,0.0337431,0.125185,0.379616,0.899991,0.45277,1.5
13.022,4.66741,1.28321,0,1,0,1,0.563573,0.00326805,0.566842,0.349141,0.638758,0.8,1.5
13.216,4.64276,1.3598,0,1,0,1,0.513214,0.108329,0.621543,0.389429,0.25665,0.8,0.197791
13.432,4.61783,1.41472,0,1,0,1,0.253413,0.0975459,0.350959,0.597269,-0.0615766,0.8,0.165265
13.606,4.58065,1.48509,0,1,0,1,0.561403,0.392786,0.954189,0.350878,1.00203,0.8,-0
13.797,4.5171,1.58085,0,1,0,1,0.710994,0.315883,1.02688,0,0.354112,0.8,-0
13.997,4.4812,1.62421,0,1,0,1,0.777186,0.310523,1.08771,0,0.263219,0.8,-0
14.182,4.44278,1.6608,0,1,0,1,0.570351,0.411619,0.98197,0.343719,1.20596,0.8,-0
14.394,4.42007,1.67708,0,1,0,1,0.54352,0.534025,1.07755,0,1.25955,0.8,-0.327993
14.585,4.39144,1.68831,0,1,0.669375,0.330625,0.512755,0.686531,1.40911,0,0.722358,0.8,-1.5
14.77,4.37982,1.69136,0,1,0,1,0.806585,0.737473,1.54406,0,0.444769,0.8,-1.5
14.971,4.37938,1.6914,0,1,0,1,0.842108,0.4738,1.31591,0,0.0545469,0.8,-1.5
15.173,4.37735,1.69151,0,1,0,1,0.843574,0.0040346,0.847609,0.125141,-0.227642,0.8,-1.5
15.376,4.37043,1.69169,0,1,0,1,0.850839,0.0457163,0.896556,0.119328,-0.162438,0.8,-1.5
15.582,4.34402,1.69229,0,1,0,1,0.802179,0.0344225,0.836601,0.158257,-0.394145,0.8,-1.5
15.785,4.31547,1.69406,0,1,0,1,0.704445,0.0463738,0.750819,0.236444,-0.659449,0.8,-1.5
15.988,4.28921,1.69705,0,1,0,1,0.644405,0.0491482,0.693553,0.258468,-0.77487,0.773992,-1.5
16.192,4.23057,1.7084,0,1,0,1,0.541761,0.051882,0.593643,0.366591,-1.08095,0.8,-1.5
16.389,4.1893,1.72184,0,1,0,1,0.751228,0.0511981,0.802426,0.199018,-0.582715,0.8,-1.5
16.592,4.14091,1.74172,0,1,0,1,0.654085,0.392762,1.04685,0,-0.790096,0.8,-0
16.795,4.11178,1.7567,0,1,0,1,0.632725,0.390362,1.02309,0,-0.819036,0.8,-0
16.978,4.10914,1.75836,0,1,0,1,0.80245,0.412641,1.21509,0,-0.56132,0.8,-0
17.18,4.10869,1.75881,0,1,0,1,0.802442,0.338548,1.14099,0,-0.284406,0.8,-0
17.386,4.1082,1.75936,0,1,0,1,0.899379,0.0537007,0.95308,0.0804968,-0.0137106,0.8,-0
17.596,4.10226,1.76661,0,1,0,1,0.853265,0.114143,0.967409,0.117388,-0.0439964,0.8,-0
17.799,4.09203,1.77924,0,1,0,1,0.653104,0.277389,0.930493,0.277517,-0.329912,0.8,-0
18.013,4.06914,1.80784,0,1,0,1,0.908102,0.0798175,0.987919,0.0735184,0.0188314,0.8,-0
18.199,4.04482,1.83896,0,1,0,1,0.655731,0.301816,0.957547,0.275415,-0.38366,0.8,-0
18.414,4.03273,1.85476,0,1,0,1,0.923874,0.0102561,0.93413,0.0609007,-0.00196293,0.8,-0
18.608,4.00758,1.88846,0,1,0,1,0.671702,0.315392,0.987095,0.262638,-0.400905,0.8,-0
18.81,3.99601,1.90462,0,1,0,1,0.579548,0.329013,0.908561,0.336362,-0.564754,0.8,-0
19.017,3.96386,1.95752,0,1,0,1,0.329923,0.302963,0.632887,0.536061,-0.752458,0.8,-0
19.22,3.93114,2.02201,0,1,0,1,0.51147,0.273623,0.785093,0.390824,-0.453606,0.8,-0
19.418,3.90056,2.08936,0,1,0,1,0.261907,0.143084,0.404991,0.590475,-0.611946,0.8,-0.295418
19.619,3.87246,2.1662,0,1,0,1,0.1734,0.0930023,0.266403,0.66128,-0.498459,0.8,-0.295418
19.804,3.84221,2.28065,0,1,0,1,0.0252913,0.0556521,0.0809435,0.779767,-0.455389,0.8,-0.295418
20.013,3.81705,2.43852,0,1,0,1,0.0240176,2.99604e-05,0.0240476,0.780786,-0.28824,0.8,-0.295418
20.214,3.80813,2.56846,0,1,0,1,0.0252431,0.184738,0.209981,0.779806,-0.426482,0.8,-1.5
20.41,3.80568,2.72443,0,1,0,1,0.0254982,0.1754,0.200899,0.779601,-0.456575,0.8,-1.5
20.61,3.8151,2.87984,0,1,0,1,0.0248547,0.172781,0.197635,0.780116,-0.465541,0.8,-1.5
20.814,3.83716,3.03429,0,1,0,1,0.0276994,0.155898,0.183597,0.777841,-0.522015,0.8,-1.5
21.01,3.87214,3.18632,0,1,0,1,0.0261647,0.153977,0.180142,0.779068,-0.529684,0.8,-1.5
21.207,3.92089,3.33389,0,1,0,1,0.0239831,0.153857,0.17784,0.780814,-0.531302,0.8,-1.5
21.405,3.99521,3.49978,0,1,0,1,0.0248858,0.155302,0.180188,0.780091,-0.413986,0.8,-0
21.601,4.07243,3.63519,0,1,0,1,0.0153867,0.152588,0.167975,0.787691,-0.409449,0.8,-0
21.802,4.1451,3.74425,0,1,0,1,0.0193565,0.162361,0.181717,0.784515,-0.438898,0.8,-0
22.005,4.25797,3.88841,0,1,0,1,0.0202973,0.151677,0.171974,0.783762,-0.404561,0.8,-0
22.204,4.3466,3.98476,0,1,0,1,0.0168056,0.162782,0.179588,0.786555,-0.441409,0.8,-0
22.41,4.46088,4.09291,0,1,0,1,0.0168163,0.155978,0.172794,0.786547,-0.419554,0.8,-0
22.608,4.58331,4.19153,0,1,0,1,0.0181743,0.144135,0.162309,0.785461,-0.38215,0.8,-0
22.819,4.71263,4.2807,0,1,0,1,0.0203224,0.150847,0.17117,0.783742,-0.401968,0.8,-0
23.021,4.87047,4.37265,0,1,0,1,0.0209891,0.13379,0.154779,0.783209,-0.350054,0.8,-0
23.222,5.01144,4.44094,0,1,0,1,0.122274,0.150477,0.272751,0.702181,-0.359106,0.8,-0
23.43,5.12667,4.48866,0,1,0,1,0.0259602,0.116914,0.142874,0.779232,-0.299814,0.8,-0
23.622,5.2895,4.54422,0,1,0,1,0.179424,0.116965,0.296389,0.656461,-0.252697,0.8,-0
23.846,5.40819,4.57775,0,1,0,1,0.00619656,0.0999073,0.106104,0.795043,-0.258069,0.8,-0
24.026,5.54338,4.60869,0,1,0,1,0.0232663,0.0789068,0.102173,0.781387,-0.197768,0.8,-0
24.231,5.69851,4.63645,0,1,0,1,0.0234958,0.0499718,0.0734676,0.781203,-0.123659,0.8,-0
24.424,5.85344,4.65862,0,1,0,1,0.0205913,0.0476776,0.068269,0.783527,-0.118245,0.8,-0
