dt,dt_traj,PredictTime,looprate,k_head,k_vel,thres_vel_time,thres_ang_time,d_scale,th_scale
0.2,0.1,3,5,1,1,3,3,1,0.85

timestep,pos.x,pos.y,linadm,linsafe,angadm,angsafe,vel_h_cost,ang_h_cost,cost,cal_vel.v,cal_val.w,joy_v,joy_w
10.91,4.577,2.47693,0,1,0,1,0.0164045,0.00609295,0.0224974,0.786876,-0.0150639,0.8,-0
11.11,4.53788,2.65644,0,1,0,1,0.0175622,0.00880697,0.0263692,0.78595,-0.0217511,0.8,-0
11.315,4.51042,2.78481,0,1,0,1,0.0165226,0.0119816,0.0285042,0.786782,0.0296296,0.8,-0
11.522,4.48332,2.91316,0,1,0,1,0.0229593,0.00290433,0.0258636,0.781633,-0.00713199,0.8,-0
11.719,4.44002,3.11715,0,1,0,1,0.0221974,0.268686,0.290883,0.782242,-0.188725,0.8,-1.5
11.919,4.41332,3.2442,0,1,0,1,0.0206065,0.275081,0.295687,0.783515,-0.172453,0.8,-1.5
12.117,4.38511,3.39788,0,1,0,1,0.483811,0.358465,0.842275,0.579351,-0.190154,0.192303,-1.5
12.323,4.36288,3.54695,0,1,0,1,0.609504,0.402885,1.01239,0,-0.2343,-0,-1.5
12.545,4.34949,3.66193,0,1,0,1,0.340282,0.345717,0.685999,0.272226,-0.413898,-0,-1.5
12.749,4.34351,3.73589,0,1,0,1,0.116991,0.308483,0.425474,0.093593,-0.530873,-0,-1.5
12.949,4.34213,3.7885,0,1,0,1,0.035786,0.303228,0.339014,0.0286288,-0.547381,-0,-1.5
13.129,4.34281,3.81346,0,1,0,1,0.67053,0.00568244,0.676213,0.263576,-0.516191,0.8,-1.5
13.336,4.34467,3.8286,0,1,0,1,0.542052,0.0139312,0.555984,0.366358,-0.619969,0.8,-1.5
13.525,4.35272,3.87692,0,1,0,1,0.382022,0.0184621,0.400484,0.494383,-0.635709,0.8,-0.913996
13.722,4.3701,3.95197,0,1,0,1,0.466672,0.0468076,0.51348,0.426662,-0.576646,0.8,-1.5
13.914,4.40236,4.05201,0,1,0,1,0.385399,0.038203,0.423602,0.491681,-0.703525,0.8,-1.5
14.119,4.43281,4.12151,0,1,0,1,0.235074,0.062796,0.29787,0.611941,-0.745632,0.8,-1.5
14.315,4.47424,4.19602,0,1,0,1,0.352339,0.0535102,0.405849,0.518129,-0.670276,0.8,-1.5
14.524,4.55324,4.30463,0,1,0,1,0.252306,0.0703052,0.322611,0.598155,-0.651582,0.8,-0.55587
14.717,4.62894,4.3827,0,1,0,1,0.324877,0.0839042,0.408781,0.540099,-0.606079,0.8,-0.523343
14.92,4.71756,4.45386,0,1,0,1,0.325689,0.0588537,0.384542,0.539449,-0.517052,0.8,-0.523343
15.12,4.80859,4.5115,0,1,0,1,0.420797,0.057906,0.478703,0.463363,-0.454105,0.8,-0.539582
15.326,4.90075,4.55826,0,1,0,1,0.219563,0.105366,0.324929,0.624349,-0.420239,0.8,-0.21403
15.527,4.99435,4.59443,0,1,0,1,0.278538,0.100368,0.378905,0.57717,-0.375451,0.8,-0.21403
15.732,5.12818,4.63258,0,1,0,1,0.0876786,0.0380674,0.125746,0.729857,-0.292368,0.8,-0.21403
15.924,5.22655,4.65398,0,1,0,1,0.248367,0.060906,0.309273,0.601307,-0.278443,0.8,-0.197743
16.14,5.34248,4.67421,0,1,0,1,0.180207,0.028391,0.208598,0.655835,-0.239851,0.8,-0.21403
16.334,5.48748,4.69218,0,1,0,1,0.0329847,0.011814,0.0447987,0.773612,-0.161017,0.8,-0.197743
16.527,5.62216,4.70145,0,1,0,1,0.045802,0.0111497,0.0569518,0.763358,-0.160546,0.8,-0.197743
16.722,5.77379,4.70287,0,1,0,1,0.0471427,0.0373661,0.0845088,0.762286,-0.095733,0.8,-0.197743
16.92,5.92615,4.69943,0,1,0,1,0.0464184,0.0420607,0.0884792,0.762865,-0.0843974,0.8,-0.197743
17.121,6.07842,4.69319,0,1,0,1,0.0417739,0.0524832,0.0942571,0.766581,-0.0594837,0.8,-0.197743
17.321,6.2313,4.6845,0,1,0,1,0.0442,0.0530302,0.0972302,0.76464,-0.0580113,0.8,-0.197743
17.518,6.40891,4.67196,0,1,0,1,0.0443288,0.0556081,0.0999369,0.764537,-0.0517797,0.8,-0.197743
17.723,6.53603,4.66154,0,1,0,1,0.0423063,0.0584632,0.10077,0.766155,-0.0449897,0.8,-0.197743
17.925,6.68879,4.6475,0,1,0,1,0.040423,0.0840345,0.124458,0.767662,0.016646,0.8,-0.197743
18.122,6.84131,4.63251,0,1,0,1,0.0397332,0.084225,0.123958,0.768213,0.0171179,0.8,-0.197743
18.322,6.96899,4.6202,0,1,0,1,0.0375401,0.0840599,0.1216,0.769968,0.0167574,0.8,-0.197743
18.524,7.17257,4.60175,0,1,0,1,0.0398611,0.084203,0.124064,0.768111,0.0170624,0.8,-0.197743
18.723,7.32546,4.58877,0,1,0,1,0.0378336,0.0824379,0.120271,0.769733,0.0128284,0.8,-0.197743
18.927,7.45341,4.57839,0,1,0,1,0.0410365,0.0701126,0.111149,0.767171,-0.0169239,0.8,-0.197743
19.129,7.6067,4.56626,0,1,0,1,0.0429855,0.0699404,0.112926,0.765612,-0.0173039,0.8,-0.197743
19.324,7.75941,4.55385,0,1,0,1,0.0383786,0.0849911,0.12337,0.769297,0.0189946,0.8,-0.197743
19.526,7.91252,4.54115,0,1,0,1,0.0455679,0.0934813,0.139049,0.763546,0.0392491,0.8,-0.197743
19.729,8.06508,4.52948,0,1,0,1,0.045208,0.067862,0.11307,0.763834,-0.0222545,0.8,-0.197743
19.926,8.21728,4.51877,0,1,0,1,0.0483814,0.0709465,0.119328,0.761295,-0.014799,0.8,-0.197743
20.13,8.39448,4.50585,0,1,0,1,0.0487149,0.0743151,0.12303,0.761028,-0.00673833,0.8,-0.197743
20.33,8.52131,4.49636,0,1,0,1,0.0478168,0.0750183,0.122835,0.761747,-0.00506176,0.8,-0.197743
20.528,8.67272,4.48498,0,1,0,1,0.0430037,0.0676159,0.11062,0.765597,-0.0228983,0.8,-0.197743
20.734,8.8001,4.47549,0,1,0,1,0.0453453,0.0678462,0.113191,0.763724,-0.0222891,0.8,-0.197743
20.931,8.97748,4.46184,0,1,0,1,0.0447439,0.0463738,0.0911177,0.764205,-0.0740791,0.8,-0.197743
21.138,9.12942,4.44952,0,1,0,1,0.00373901,0.0350583,0.0387973,0.797009,-0.105969,0.8,-0.197743
21.327,9.2835,4.4347,0,1,0,1,0.00620943,0.0366524,0.0428619,0.795032,-0.101657,0.8,-0.197743
21.53,9.44102,4.4155,0,1,0,1,0.00404726,0.0417633,0.0458106,0.796762,-0.0889011,0.8,-0.197743
21.73,9.62454,4.38944,0,1,0,1,0.0030778,0.0359811,0.0390589,0.797538,-0.103687,0.8,-0.197743
21.927,9.75617,4.36862,0,1,0,1,0.00571273,0.0104808,0.0161935,0.79543,-0.158953,0.8,-0.132642
