dt,dt_traj,PredictTime,looprate,k_head,k_vel,thres_vel_time,thres_ang_time,d_scale,th_scale
0.2,0.1,3,5,1,1,2,2,1,0.85

timestep,pos.x,pos.y,linadm,linsafe,angadm,angsafe,vel_h_cost,ang_h_cost,cost,cal_vel.v,cal_val.w,joy_v,joy_w
0.477,-0.000232209,-1.34542e-07,0,1,0,1,0,0,0,0,0,0,0
0.507,-0.00023265,-1.37291e-07,0,1,0,1,0,0,0,0,0,0,0
0.708,-0.000232555,-1.3823e-07,0,1,0,1,0,0,0,0,0,0,0
0.906,-0.000233099,-1.42741e-07,0,1,0,1,0,0,0,0,0,0,0
1.108,-0.00023212,-1.42328e-07,0,1,0,1,0,0,0,0,0,0,0
1.313,-0.000232046,-1.44724e-07,0,1,0,1,0,0,0,0,0,0,0
1.51,-0.000231817,-1.43209e-07,0,1,0,1,0,0,0,0,0,0,0
1.707,-0.000231653,-1.45627e-07,0,1,0,1,0,0,0,0,0,0,0
1.912,-0.000231679,-1.46617e-07,0,1,0,1,0,0,0,0,0,0,0
2.115,-0.000229407,-1.48591e-07,0,1,0,1,0,0,0,0,0,0,0
2.31,-0.000232126,-1.52066e-07,0,1,0,1,0,0,0,0,0,0,0
2.516,-0.000230917,-1.47323e-07,0,1,0,1,0,0,0,0,0,0,0
2.716,-0.00023107,-1.54047e-07,0,1,0,1,0,0,0,0,0,0,0
2.91,-0.00023084,-1.52532e-07,0,1,0,1,0,0,0,0,0,0,0
3.113,-0.000230674,-1.54948e-07,0,1,0,1,0,0,0,0,0,0,0
3.32,-0.000230699,-1.55937e-07,0,1,0,1,0,0,0,0,0,0,0
3.517,-0.000228426,-1.57909e-07,0,1,0,1,0,0,0,0,0,0,0
3.717,-0.000230125,-1.60042e-07,0,1,0,1,0,0,0,0,0,0,0
3.92,-0.000229933,-1.56641e-07,0,1,0,1,0,0,0,0,0,0,0
4.119,-0.000230084,-1.63361e-07,0,1,0,1,0,0,0,0,0,0,0
4.313,-0.000229853,-1.61848e-07,0,1,0,1,0,0,0,0,0,0,0
4.509,-0.000229476,-1.65649e-07,0,1,0,1,0,0,0,0,0,0,0
4.73,-0.000229269,-1.62506e-07,0,1,0,1,0,0,0,0,0,0,0
4.92,-0.000227435,-1.67219e-07,0,1,0,1,0,0,0,0,0,0,0
5.121,-0.000229133,-1.69351e-07,0,1,0,1,0,0,0,0,0,0,0
5.325,-0.000228939,-1.65952e-07,0,1,0,1,0,0,0,0,0,0,0
5.528,-0.000229089,-1.72669e-07,0,1,0,1,0,0,0,0,0,0,0
5.718,-0.000228856,-1.71156e-07,0,1,0,1,0,0,0,0,0,0,0
5.919,-0.000228688,-1.73568e-07,0,1,0,1,0,0,0,0,0,0,0
6.122,-0.00022871,-1.74553e-07,0,1,0,1,0,0,0,0,0,0,0
6.337,-0.000226434,-1.76522e-07,0,1,0,1,0,0,0,0,0,0,0
6.525,-0.000228131,-1.78654e-07,0,1,0,1,0.799807,3.04474e-06,0.79981,0.160154,-1.53193e-06,0.8,0
6.738,0.00608417,-2.89454e-08,0,1,0,1,0.623855,1.54523e-06,0.623857,0.300916,-1.46079e-06,0.8,0
6.956,0.0401849,-1.74714e-08,0,1,0,1,0.467505,0.000298085,0.467803,0.425996,0.000398929,0.8,0
7.175,0.11417,4.12957e-05,0,1,0,1,0.254782,0.00704945,0.261832,0.596174,-0.0132053,0.8,0
7.351,0.200898,-0.000884872,0,1,0,1,0.132344,0.00290021,0.135244,0.694125,-0.00632455,0.8,0
7.533,0.322284,-0.00233844,0,1,0,1,0.0350333,0.00397232,0.0390056,0.771973,0.00963427,0.8,0
7.716,0.466541,-0.00462013,0,1,0,1,0.0350174,0.00379272,0.0388102,0.771986,0.00919878,0.8,0
7.925,0.620869,-0.00708437,0,1,0,1,0.0365931,0.00418041,0.0407735,0.770726,0.0101226,0.8,0
8.126,0.775116,-0.00928045,0,1,0,1,0.0374571,0.00394894,0.0414061,0.770034,0.0095535,0.8,0
8.32,0.90378,-0.0108861,0,1,0,1,0.0357791,0.00352515,0.0393042,0.771377,0.00854302,0.8,0
8.534,1.05787,-0.0125562,0,1,0,1,0.0381357,0.00342533,0.041561,0.769491,0.00828082,0.8,0
8.724,1.23746,-0.0141893,0,1,0,1,0.0380767,0.00318576,0.0412625,0.769539,0.00770207,0.8,0
8.922,1.39136,-0.0153305,0,1,0,1,0.0370824,0.00281204,0.0398944,0.770334,0.00680552,0.8,0
9.123,1.54532,-0.0162571,0,1,0,1,0.0370471,0.00318338,0.0402305,0.770362,0.00770456,0.8,0
9.335,1.69944,-0.0169818,0,1,0,1,0.0405365,0.00296133,0.0434978,0.767571,0.00714114,0.8,0
9.521,1.85324,-0.0174865,0,1,0,1,0.0410495,0.00285282,0.0439023,0.76716,0.00687578,0.8,0
9.724,2.00665,-0.0177845,0,1,0,1,0.0407077,0.00321895,0.0439266,0.767434,0.00776104,0.8,0
9.923,2.16017,-0.0178795,0,1,0,1,0.0431312,0.00318137,0.0463126,0.765495,0.00765104,0.8,0
