dt,dt_traj,PredictTime,looprate,k_head,k_vel,thres_vel_time,thres_ang_time,d_scale,th_scale
0.2,0.1,3,5,1,1,2,2,1,0.85

timestep,pos.x,pos.y,linadm,linsafe,angadm,angsafe,vel_h_cost,ang_h_cost,cost,cal_vel.v,cal_val.w,joy_v,joy_w
0.422,-0.000242282,-4.90742e-08,0,1,0,1,0,0,0,0,0,0,0
0.464,-0.000241267,-4.77427e-08,0,1,0,1,0,0,0,0,0,0,0
0.655,-0.000241317,-4.86719e-08,0,1,0,1,0,0,0,0,0,0,0
0.856,-0.00024114,-4.9107e-08,0,1,0,1,0,0,0,0,0,0,0
1.056,-0.000241182,-5.12189e-08,0,1,0,1,0.799968,4.76841e-06,0.799973,0.160025,-2.39724e-06,0.8,0
1.279,0.0104966,2.40643e-08,0,1,0,1,0.581543,1.87001e-06,0.581544,0.334766,-1.96669e-06,0.8,0
1.485,0.04884,-7.41055e-07,0,1,0,1,0.422752,2.04918e-05,0.422772,0.461799,2.97292e-05,0.8,0
1.684,0.119417,-0.000110779,0,1,0,1,0.218831,0.000571473,0.219402,0.624935,0.00112197,0.8,0
1.875,0.198183,-0.000313782,0,1,0,1,0.139792,0.000223561,0.140015,0.688167,0.000483326,0.8,0
2.064,0.345321,-0.00066729,0,1,0,1,0.0493246,0.00222813,0.0515527,0.76054,-0.00532378,0.8,0
2.258,0.490548,-0.00153927,0,1,0,1,0.0454867,0.00209254,0.0475793,0.763611,-0.00501998,0.8,0
2.457,0.617627,-0.00239672,0,1,0,1,0.0442792,0.00497459,0.0492538,0.764577,0.0119499,0.8,0
2.655,0.770529,-0.00355108,0,1,0,1,0.042226,0.00450254,0.0467286,0.766219,0.010839,0.8,0
2.856,0.923374,-0.00414989,0,1,0,1,0.042369,0.00326833,0.0456373,0.766105,0.00786645,0.8,0
3.058,1.07639,-0.00431528,0,1,0,1,0.0448102,0.0037611,0.0485713,0.764152,0.00902951,0.8,0
3.257,1.25473,-0.00431882,0,1,0,1,0.0453938,0.00346203,0.0488558,0.763685,0.00830638,0.8,0
3.465,1.40753,-0.00404868,0,1,0,1,0.0453505,0.00331748,0.048668,0.76372,0.00795991,0.8,0
3.668,1.56023,-0.00354354,0,1,0,1,0.0461932,0.00228781,0.048481,0.763045,0.00548439,0.8,0
3.866,1.68775,-0.00294951,0,1,0,1,0.043878,0.00226907,0.0461471,0.764898,0.00545266,0.8,0
4.065,1.86576,-0.00192731,0,1,0,1,0.0441095,0.00220543,0.0463149,0.764712,0.00529845,0.8,0
