dt,dt_traj,PredictTime,looprate,k_head,k_vel,thres_vel_time,thres_ang_time,d_scale,th_scale
0.5,0.1,3,2,1,1,3,3,1,3.75

joyvel,joyang,CandVel,CandAng,adm,safe,vel_h_cost,ang_h_cost,cost
0,0,-0.0142657,0.0886233,1,0,0.0178322,0.0590822,1
0,0,0,0,0,1,0,0,0
0,0,0.0857343,-0.661377,1,0,0.107168,0.440918,1
0,0,0.0857343,-0.511377,1,0,0.107168,0.340918,1
0,0,0.0857343,-0.361377,1,0,0.107168,0.240918,1
0,0,0.0857343,-0.211377,1,0,0.107168,0.140918,1
0,0,0.0857343,-0.0613767,1,0,0.107168,0.0409178,1
0,0,0.0857343,0.0886233,1,0,0.107168,0.0590822,1
0,0,0.0857343,0.238623,1,0,0.107168,0.159082,1
0,0,0.0857343,0.388623,1,0,0.107168,0.259082,1
0,0,0.0857343,0.538623,1,0,0.107168,0.359082,1
0,0,0.0857343,0.688623,1,0,0.107168,0.459082,1
0,0,0.185734,-0.661377,1,0,0.232168,0.440918,1
0,0,0.185734,-0.511377,1,0,0.232168,0.340918,1
0,0,0.185734,-0.361377,1,0,0.232168,0.240918,1
0,0,0.185734,-0.211377,1,0,0.232168,0.140918,1
0,0,0.185734,-0.0613767,1,0,0.232168,0.0409178,1
0,0,0.185734,0.0886233,1,0,0.232168,0.0590822,1
0,0,0.185734,0.238623,1,0,0.232168,0.159082,1
0,0,0.185734,0.388623,1,0,0.232168,0.259082,1
0,0,0.185734,0.538623,1,0,0.232168,0.359082,1
0,0,0.185734,0.688623,1,0,0.232168,0.459082,1
0,0,0.285734,-0.661377,1,0,0.357168,0.440918,1
0,0,0.285734,-0.511377,1,0,0.357168,0.340918,1
0,0,0.285734,-0.361377,1,0,0.357168,0.240918,1
0,0,0.285734,-0.211377,1,0,0.357168,0.140918,1
0,0,0.285734,-0.0613767,1,0,0.357168,0.0409178,1
0,0,0.285734,0.0886233,1,0,0.357168,0.0590822,1
0,0,0.285734,0.238623,1,0,0.357168,0.159082,1
0,0,0.285734,0.388623,1,0,0.357168,0.259082,1
0,0,0.285734,0.538623,1,0,0.357168,0.359082,1
0,0,0.285734,0.688623,1,0,0.357168,0.459082,1
0,0,0.385734,-0.661377,1,0,0.482168,0.440918,1
0,0,0.385734,-0.511377,1,0,0.482168,0.340918,1
0,0,0.385734,-0.361377,1,0,0.482168,0.240918,1
0,0,0.385734,-0.211377,1,0,0.482168,0.140918,1
0,0,0.385734,-0.0613767,1,0,0.482168,0.0409178,1
0,0,0.385734,0.0886233,1,0,0.482168,0.0590822,1
0,0,0.385734,0.238623,1,0,0.482168,0.159082,1
0,0,0.385734,0.388623,1,0,0.482168,0.259082,1
0,0,0.385734,0.538623,1,0,0.482168,0.359082,1
0,0,0.385734,0.688623,1,0,0.482168,0.459082,1

0,0,-0.0188486,1.35655,1,0,0.0235607,0.904364,1
0,0,0.0811514,0.606546,1,0,0.101439,0.404364,1
0,0,0.0811514,0.756546,1,0,0.101439,0.504364,1
0,0,0.0811514,0.906546,1,0,0.101439,0.604364,1
0,0,0.0811514,1.05655,1,0,0.101439,0.704364,1
0,0,0.0811514,1.20655,1,0,0.101439,0.804364,1
0,0,0.0811514,1.35655,1,0,0.101439,0.904364,1
0,0,0.181151,0.606546,1,0,0.226439,0.404364,1
0,0,0.181151,0.756546,1,0,0.226439,0.504364,1
0,0,0.181151,0.906546,1,0,0.226439,0.604364,1
0,0,0.181151,1.05655,1,0,0.226439,0.704364,1
0,0,0.181151,1.20655,1,0,0.226439,0.804364,1
0,0,0.181151,1.35655,1,0,0.226439,0.904364,1
0,0,0.281151,0.606546,1,0,0.351439,0.404364,1
0,0,0.281151,0.756546,1,0,0.351439,0.504364,1
0,0,0.281151,0.906546,1,0,0.351439,0.604364,1
0,0,0.281151,1.05655,1,0,0.351439,0.704364,1
0,0,0.281151,1.20655,1,0,0.351439,0.804364,1
