dt,dt_traj,PredictTime,looprate,k_head,k_vel,thres_vel_time,thres_ang_time,d_scale,th_scale
0.2,0.1,3,5,1,1,3,3,1,2

timestep,pos.x,pos.y,adm,safe,vel_h_cost,ang_h_cost,cost,cal_vel.v,cal_val.w,joy_v,joy_w
0.438,-0.00023596,-1.14721e-07,0,1,0,0,0,0,0,0,0
0.445,-0.00023596,-1.14721e-07,0,1,0,0,0,0,0,0,0
0.647,-0.000235095,-1.14937e-07,0,1,0,0,0,0,0,0,0
0.846,-0.000234871,-1.13419e-07,0,1,0.561634,2.16048e-05,0.561656,0.159743,1.08423e-05,0.609051,0
1.048,0.0104756,5.20777e-08,0,1,0.583056,1.16654e-05,0.583067,0.333555,1.22241e-05,0.8,0
1.252,0.0585429,2.60963e-06,0,1,0.38149,0.000876351,0.382367,0.494808,0.00136228,0.8,0
1.452,0.138197,-0.000342651,0,1,0.216325,0.00999485,0.226319,0.62694,-0.0196922,0.8,0
1.652,0.226984,-0.00179667,0,1,0.0547589,0.000212321,0.0549712,0.756193,-0.000504401,0.8,0
1.853,0.387079,-0.00470814,0,1,0.00270259,0.00634015,0.00904274,0.797838,-0.0158936,0.8,0
2.053,0.518511,-0.00751502,0,1,0.00091135,0.0053573,0.00626865,0.799271,-0.0134534,0.8,0
2.254,0.677964,-0.011126,0,1,0.000557293,0.00423765,0.00479494,0.800446,-0.0106569,0.8,0
2.454,0.83787,-0.0150166,0,1,0.000528739,0.00330808,0.00383682,0.800423,-0.00831882,0.8,0
2.659,0.997953,-0.0192165,0,1,0.00065889,0.00306937,0.00372826,0.800527,-0.00771948,0.8,0
2.856,1.1844,-0.0244269,0,1,3.35537e-06,0.00246748,0.00247084,0.799997,-0.00620156,0.8,0
3.056,1.34432,-0.0291338,0,1,0.00273119,0.00176608,0.00449727,0.802185,-0.00445082,0.8,0
3.256,1.47817,-0.0332083,0,1,0.000731322,0.00146663,0.00219795,0.799415,-0.00368338,0.8,0
3.458,1.66455,-0.0390265,0,1,0.00208476,0.00118866,0.00327342,0.798332,-0.00298121,0.8,0
3.658,1.82415,-0.0441193,0,1,0.00296014,0.000924245,0.00388439,0.797632,-0.00231601,0.8,0
3.858,1.9836,-0.0492887,0,1,0.0031304,0.000727323,0.00385772,0.797496,-0.00182224,0.8,0
4.061,2.11676,-0.0536551,0,1,0.00300415,0.000736695,0.00374085,0.797597,-0.00184596,0.8,0
4.261,2.27614,-0.0589314,0,1,3.59636e-05,0.00139291,0.00142887,0.799971,-0.00350066,0.8,0
4.461,2.4359,-0.0642828,0,1,0.0508293,0.0486094,0.0994387,0.759337,0.116869,0.8,0
4.664,2.61566,-0.0693661,0,1,0.148084,0.00565781,0.153741,0.681533,-0.0121152,0.8,0
4.862,2.75692,-0.0707607,0,1,0.145379,0.0552984,0.200678,0.683697,0.27105,0.8,0.165265
5.063,2.89369,-0.069521,0,1,0.0442773,0.0988621,0.143139,0.764578,0.432,0.8,0.165265
5.264,3.01381,-0.0622047,0,1,0.0449749,0.1186,0.163575,0.76402,0.630075,0.8,1.43495
5.464,3.18974,-0.0361764,0,1,0.0451011,0.0820434,0.127144,0.763919,0.793608,0.8,1.43495
5.667,3.31254,-0.00274774,0,1,0.0432828,0.171933,0.215216,0.765374,0.458936,0.8,-0
5.868,3.45367,0.0546804,0,1,0.0394688,0.166939,0.206408,0.768425,0.444528,0.8,-0
6.069,3.59054,0.124461,0,1,0.0400804,0.171328,0.211408,0.767936,0.45849,0.8,-0
6.27,3.74245,0.219363,0,1,0.0397915,0.158644,0.198436,0.768167,0.418052,0.8,-0
6.47,3.86513,0.311681,0,1,0.0419876,0.17092,0.212908,0.76641,0.456249,0.8,-0
6.671,3.96175,0.395812,0,1,0.0411987,0.154056,0.195255,0.767041,0.403219,0.8,-0
6.874,4.08643,0.523451,0,1,0.0468668,0.163675,0.210542,0.762507,0.430729,0.8,-0
7.075,4.16826,0.621212,0,1,0.0453651,0.156881,0.202246,0.763708,0.410159,0.8,-0
7.274,4.25764,0.745174,0,1,0.0405703,0.152508,0.193078,0.767544,0.398732,0.8,-0
