joyvel,joyang,CandVel,CandAng,dist,velnormdist,angnormdist,vel_h_cost,ang_h_cost,cost
0,0,0.483227,0.44565,0.0436578,0.0118436,0.0472687,0.604034,0.2971,1.96209,
0,0,0.483227,0.63315,0.019785,0.00936943,0.0138918,0.604034,0.4221,1.98826,
0,0,-0.00240042,0.000664727,1.59784,1,1,0.00300053,0.000443151,0.00344368,
0,0,0,0,1.6049,1,1,0,0,0,
0,0,0.1226,-0.749335,1.65889,1,0.980304,0.153249,0.499557,0.662663,
0,0,0.1226,-0.561835,1.64231,1,1,0.153249,0.374557,0.527806,
0,0,0.1226,-0.374335,1.62577,1,1,0.153249,0.249557,0.402806,
0,0,0.1226,-0.186835,1.60928,1,1,0.153249,0.124557,0.277806,
0,0,0.1226,0.000664727,1.35236,1,1,0.153249,0.000443151,0.153693,
0,0,0.1226,0.188165,0.936553,1,1,0.153249,0.125443,0.278693,
0,0,0.1226,0.375665,0.568111,1,0.65567,0.153249,0.250443,0.661788,
0,0,0.1226,0.563165,0.267943,0.878596,0.141451,0.153249,0.375443,1.1677,
0,0,0.1226,0.750665,0.132114,0.525936,0.0191173,0.153249,0.500443,1.54511,
0,0,0.2476,-0.749335,1.64744,1,0.980304,0.309499,0.499557,0.818913,
0,0,0.2476,-0.561835,1.63074,1,1,0.309499,0.374557,0.684056,
0,0,0.2476,-0.374335,1.61407,1,1,0.309499,0.249557,0.559056,
0,0,0.2476,-0.186835,1.55891,1,1,0.309499,0.124557,0.434056,
0,0,0.2476,0.000664727,1.20279,0.354046,1,0.309499,0.000443151,0.755974,
0,0,0.2476,0.188165,0.76868,0.319476,1,0.309499,0.125443,0.904845,
0,0,0.2476,0.375665,0.357205,0.185304,0.459476,0.309499,0.250443,1.52764,
0,0,0.2476,0.563165,0.0112125,0.0194112,0.00512497,0.309499,0.375443,1.9834,
0,0,0.2476,0.750665,0.00678894,0.0109871,0.00270457,0.309499,0.500443,1.99106,
0,0,0.3726,-0.749335,1.63551,1,0.922929,0.465749,0.499557,1.00388,
0,0,0.3726,-0.561835,1.61947,0.966745,1,0.465749,0.374557,0.858073,
0,0,0.3726,-0.374335,1.59446,0.971746,1,0.465749,0.249557,0.730401,
0,0,0.3726,-0.186835,1.48438,0.516338,1,0.465749,0.124557,0.848703,
0,0,0.3726,0.000664727,1.11709,0.167528,1,0.465749,0.000443151,0.910941,
0,0,0.3726,0.188165,0.676514,0.100219,1,0.465749,0.125443,1.0719,
0,0,0.3726,0.375665,0.252583,0.0712042,0.328679,0.465749,0.250443,1.7156,
0,0,0.3726,0.563165,0.0201706,0.00162299,0.0178761,0.465749,0.375443,1.98797,
0,0,0.3726,0.750665,0.00737395,0.00541626,0.00411052,0.465749,0.500443,1.99505,
0,0,-0.00243296,0.000495714,1.59811,1,1,0.0030412,0.000330476,0.00337167,
0,0,0,0,1.6049,1,1,0,0,0,
0,0,0.122567,-0.749504,1.65891,1,0.980094,0.153209,0.49967,0.662838,
0,0,0.122567,-0.562004,1.64232,1,1,0.153209,0.37467,0.527878,
0,0,0.122567,-0.374504,1.62579,1,1,0.153209,0.24967,0.402878,
0,0,0.122567,-0.187004,1.6093,1,1,0.153209,0.12467,0.277878,
0,0,0.122567,0.000495714,1.3528,1,1,0.153209,0.000330476,0.153539,
0,0,0.122567,0.187996,0.936971,1,1,0.153209,0.12533,0.278539,
0,0,0.122567,0.375496,0.568497,1,0.656505,0.153209,0.25033,0.661047,
0,0,0.122567,0.562996,0.268204,0.878926,0.141854,0.153209,0.37533,1.16712,
0,0,0.122567,0.750496,0.132186,0.526005,0.0193919,0.153209,0.50033,1.54489,
0,0,0.247567,-0.749504,1.64746,1,0.980094,0.309459,0.49967,0.819088,
0,0,0.247567,-0.562004,1.63075,1,1,0.309459,0.37467,0.684128,
0,0,0.247567,-0.374504,1.61409,1,1,0.309459,0.24967,0.559128,
0,0,0.247567,-0.187004,1.55906,1,1,0.309459,0.12467,0.434128,
0,0,0.247567,0.000495714,1.20321,0.354407,1,0.309459,0.000330476,0.755598,
0,0,0.247567,0.187996,0.769094,0.319679,1,0.309459,0.12533,0.904579,
0,0,0.247567,0.375496,0.357598,0.185333,0.460223,0.309459,0.25033,1.527,
0,0,0.247567,0.562996,0.0113701,0.019278,0.00548676,0.309459,0.37533,1.98326,
0,0,0.247567,0.750496,0.00663508,0.0111161,0.00246871,0.309459,0.50033,1.99109,
0,0,0.372567,-0.749504,1.63553,1,0.922732,0.465709,0.49967,1.00404,
0,0,0.372567,-0.562004,1.61948,0.966838,1,0.465709,0.37467,0.858096,
0,0,0.372567,-0.374504,1.59451,0.971858,1,0.465709,0.24967,0.730414,
0,0,0.372567,-0.187004,1.48457,0.51648,1,0.465709,0.12467,0.848719,
0,0,0.372567,0.000495714,1.11751,0.167752,1,0.465709,0.000330476,0.910702,
0,0,0.372567,0.187996,0.676922,0.100287,1,0.465709,0.12533,1.07175,
0,0,0.372567,0.375496,0.252966,0.0711233,0.329368,0.465709,0.25033,1.71508,
0,0,0.372567,0.562996,0.0202808,0.0161122,0.0145164,0.465709,0.37533,1.98232,
0,0,0.372567,0.750496,0.00766642,0.00550764,0.00431413,0.465709,0.50033,1.9949,
0,0,0.497567,-0.749504,1.62234,0.85196,0.922732,0.621959,0.49967,1.21625,
0,0,0.497567,-0.562004,1.60581,0.752287,1,0.621959,0.37467,1.09027,
0,0,0.497567,-0.374504,1.55856,0.553361,1,0.621959,0.24967,1.04048,
0,0,0.497567,-0.187004,1.42441,0.27821,1,0.621959,0.12467,1.01949,
0,0,0.497567,0.000495714,1.06981,0.0704286,1,0.621959,0.000330476,0.973706,
0,0,0.497567,0.187996,0.626852,0.0636003,1,0.621959,0.12533,1.10129,
0,0,0.497567,0.375496,0.200691,0.058458,0.255762,0.621959,0.25033,1.78616,
0,0,0.497567,0.562996,0.00335779,0.00129033,0.00275541,0.621959,0.37533,1.99779,
0,0,0.497567,0.750496,0.0192624,0.00956556,0.0111566,0.621959,0.50033,1.99081,
0,0,-0.00248974,0.00034572,1.59829,1,1,0.00311218,0.00023048,0.00334266,
0,0,0,0,1.6049,1,1,0,0,0,
