dt,dt_traj,PredictTime,looprate,k_head,k_vel,thres_vel_time,thres_ang_time,d_scale,th_scale
0.5,0.1,3,2,1,1,3,3,1,1.875

joyvel,joyang,CandVel,CandAng,adm,safe,vel_h_cost,ang_h_cost,cost
0,0,-0.000449397,1.07748e-05,0,1,0.000561746,7.18321e-06,0.000568929
0,0,0,0,0,1,0,0,0
0,0,0.0995506,-0.749989,0.435762,0.564238,0.124438,0.499993,0.78809
0,0,0.0995506,-0.599989,0.301127,0.698873,0.124438,0.399993,0.667638
0,0,0.0995506,-0.449989,0.085558,0.914442,0.124438,0.299993,0.473676
0,0,0.0995506,-0.299989,0,1,0.124438,0.199993,0.324431
0,0,0.0995506,-0.149989,0,1,0.124438,0.0999928,0.224431
0,0,0.0995506,1.07748e-05,0,1,0.124438,7.18321e-06,0.124445
0,0,0.0995506,0.150011,0,1,0.124438,0.100007,0.224445
0,0,0.0995506,0.300011,0,1,0.124438,0.200007,0.324445
0,0,0.0995506,0.450011,0.212446,0.787554,0.124438,0.300007,0.54672
0,0,0.0995506,0.600011,0.406017,0.593983,0.124438,0.400007,0.717529
0,0,0.199551,-0.749989,0.530111,0.469889,0.249438,0.499993,0.88226
0,0,0.199551,-0.599989,0.418556,0.581444,0.249438,0.399993,0.796164
0,0,0.199551,-0.449989,0.241007,0.758993,0.249438,0.299993,0.658021
0,0,0.199551,-0.299989,0,1,0.249438,0.199993,0.449431
0,0,0.199551,-0.149989,0,1,0.249438,0.0999928,0.349431
0,0,0.199551,1.07748e-05,0,1,0.249438,7.18321e-06,0.249445
0,0,0.199551,0.150011,0,1,0.249438,0.100007,0.349445
0,0,0.199551,0.300011,0.135167,0.864833,0.249438,0.200007,0.523862
0,0,0.199551,0.450011,0.390194,0.609806,0.249438,0.300007,0.725249
0,0,0.199551,0.600011,0.53284,0.46716,0.249438,0.400007,0.836235
0,0,0.299551,-0.749989,0.63078,0.36922,0.374438,0.499993,0.953637
0,0,0.299551,-0.599989,0.548327,0.451673,0.374438,0.399993,0.898117
0,0,0.299551,-0.449989,0.423499,0.576501,0.374438,0.299993,0.812309
0,0,0.299551,-0.299989,0.223096,0.776904,0.374438,0.199993,0.669374
0,0,0.299551,-0.149989,0.105172,0.894828,0.374438,0.0999928,0.529706
0,0,0.299551,1.07748e-05,0.00382129,0.996179,0.374438,7.18321e-06,0.376836
0,0,0.299551,0.150011,0.178429,0.821571,0.374438,0.100007,0.568219
0,0,0.299551,0.300011,0.413074,0.586926,0.374438,0.200007,0.750231
0,0,0.299551,0.450011,0.564469,0.435531,0.374438,0.300007,0.858211
0,0,0.299551,0.600011,0.658771,0.341229,0.374438,0.400007,0.923034
