dt,dt_traj,PredictTime,looprate,k_head,k_vel,thres_vel_time,thres_ang_time,d_scale,th_scale
0.5,0.1,3,2,1,1,3,3,1,3.75

joyvel,joyang,CandVel,CandAng,adm,safe,vel_h_cost,ang_h_cost,cost
0,0,-0.0175367,0.188845,1,0,0.0219208,0.125897,1
0,0,0,0,0,1,0,0,0
0,0,0.0824633,-0.561155,1,0,0.103079,0.374103,1
0,0,0.0824633,-0.411155,1,0,0.103079,0.274103,1
0,0,0.0824633,-0.261155,1,0,0.103079,0.174103,1
0,0,0.0824633,-0.111155,1,0,0.103079,0.074103,1
0,0,0.0824633,0.0388455,1,0,0.103079,0.025897,1
0,0,0.0824633,0.188845,1,0,0.103079,0.125897,1
0,0,0.0824633,0.338845,1,0,0.103079,0.225897,1
0,0,0.0824633,0.488845,1,0,0.103079,0.325897,1
0,0,0.0824633,0.638845,1,0,0.103079,0.425897,1
0,0,0.0824633,0.788845,1,0,0.103079,0.525897,1
0,0,0.182463,-0.561155,1,0,0.228079,0.374103,1
0,0,0.182463,-0.411155,1,0,0.228079,0.274103,1
0,0,0.182463,-0.261155,1,0,0.228079,0.174103,1
0,0,0.182463,-0.111155,0.996991,0.00300906,0.228079,0.074103,0.9979
0,0,0.182463,0.0388455,0.995698,0.00430224,0.228079,0.025897,0.99679
0,0,0.182463,0.188845,0.997922,0.0020776,0.228079,0.125897,0.998658
0,0,0.182463,0.338845,1,0,0.228079,0.225897,1
0,0,0.182463,0.488845,1,0,0.228079,0.325897,1
0,0,0.182463,0.638845,1,0,0.228079,0.425897,1
0,0,0.182463,0.788845,1,0,0.228079,0.525897,1
0,0,0.282463,-0.561155,0.999244,0.000756243,0.353079,0.374103,0.999794
0,0,0.282463,-0.411155,0.998995,0.00100507,0.353079,0.274103,0.999625
0,0,0.282463,-0.261155,0.998534,0.00146583,0.353079,0.174103,0.999307
0,0,0.282463,-0.111155,0.997609,0.00239094,0.353079,0.074103,0.99863
0,0,0.282463,0.0388455,0.997095,0.0029048,0.353079,0.025897,0.998196
0,0,0.282463,0.188845,0.998162,0.00183754,0.353079,0.125897,0.999043
0,0,0.282463,0.338845,0.998811,0.00118857,0.353079,0.225897,0.9995
0,0,0.282463,0.488845,0.99914,0.000859507,0.353079,0.325897,0.999724
