dt,dt_traj,PredictTime,looprate,k_head,k_vel,thres_vel_time,thres_ang_time,d_scale,th_scale
0.2,0.1,3,5,1,1,3,3,1,0.85

timestep,pos.x,pos.y,linadm,linsafe,angadm,angsafe,vel_h_cost,ang_h_cost,cost,cal_vel.v,cal_val.w,joy_v,joy_w
0.513,-0.000197143,-4.31835e-07,0,1,0,1,0,0,0,0,0,0,0
0.556,-0.000197404,-4.30617e-07,0,1,0,1,0,0,0,0,0,0,0
0.754,-0.000196913,-4.28466e-07,0,1,0,1,0,0,0,0,0,0,0
0.947,-0.000197031,-4.351e-07,0,1,0,1,0,0,0,0,0,0,0
1.153,-0.000196528,-4.31294e-07,0,1,0,1,0.799806,8.37967e-07,0.799807,0.160155,4.21616e-07,0.8,0
1.374,0.00616937,-1.23371e-07,0,1,0,1,0.623622,3.20533e-06,0.623625,0.301102,3.03205e-06,0.8,0
1.585,0.0436768,-1.05518e-06,0,1,0,1,0.426015,0.000236712,0.426252,0.459188,0.000341476,0.8,0
1.783,0.109221,-2.52082e-05,0,1,0,1,0.254328,0.0138185,0.268146,0.596538,0.0259133,0.8,0
1.969,0.203895,0.000691053,0,1,0,1,0.0995642,0.000470991,0.100035,0.720349,0.00106587,0.8,0
2.158,0.329133,0.00212944,0,1,0,1,0.0386079,0.00895461,0.0475625,0.769114,-0.0216422,0.8,0
2.347,0.476789,0.00463965,0,1,0,1,0.0382651,0.00868849,0.0469536,0.769388,-0.0210062,0.8,0
2.546,0.630294,0.0070158,0,1,0,1,0.0350084,0.00274192,0.0377503,0.771993,0.00665011,0.8,0
2.756,0.758307,0.00885772,0,1,0,1,0.037448,0.00263893,0.0400869,0.770042,0.00638414,0.8,0
2.953,0.938687,0.0116193,0,1,0,1,0.0373379,0.00250972,0.0398476,0.77013,0.00607222,0.8,0
3.159,1.09265,0.0141749,0,1,0,1,0.0341514,0.00240095,0.0365523,0.772679,0.00582827,0.8,0
