dt,dt_traj,PredictTime,looprate,k_head,k_vel,thres_vel_time,thres_ang_time,d_scale,th_scale
0.5,0.1,3,2,1,1,3,3,1,1.875

joyvel,joyang,CandVel,CandAng,adm,safe,vel_h_cost,ang_h_cost,cost
0,0,0.551168,0.0108179,1,0,0.68896,0.00721193,2
0,0,0.0511679,-0.739182,0.816297,0.183703,0.0639599,0.492788,1.73487
0,0,0.0511679,-0.589182,0.769697,0.230303,0.0639599,0.392788,1.64458
0,0,0.0511679,-0.439182,0.691532,0.308468,0.0639599,0.292788,1.49311
0,0,0.0511679,-0.289182,0.533713,0.466287,0.0639599,0.192788,1.18714
0,0,0.0511679,-0.139182,0.0565397,0.94346,0.0639599,0.0927881,0.260965
0,0,0.0511679,0.0108179,0,1,0.0639599,0.00721193,0.0711718
0,0,0.0511679,0.160818,0.176491,0.823509,0.0639599,0.107212,0.493944
0,0,0.0511679,0.310818,0.565691,0.434309,0.0639599,0.207212,1.24915
0,0,0.0511679,0.460818,0.705918,0.294082,0.0639599,0.307212,1.52099
0,0,0.0511679,0.610818,0.777824,0.222176,0.0639599,0.407212,1.66033
0,0,0.151168,-0.739182,0.818081,0.181919,0.18896,0.492788,1.76018
0,0,0.151168,-0.589182,0.773182,0.226818,0.18896,0.392788,1.67831
0,0,0.151168,-0.439182,0.699758,0.300242,0.18896,0.292788,1.54416
0,0,0.151168,-0.289182,0.560755,0.439245,0.18896,0.192788,1.28919
0,0,0.151168,-0.139182,0.234654,0.765346,0.18896,0.0927881,0.684943
0,0,0.151168,0.0108179,0,1,0.18896,0.00721193,0.196172
0,0,0.151168,0.160818,0.302982,0.697018,0.18896,0.107212,0.812402
0,0,0.151168,0.310818,0.587793,0.412207,0.18896,0.207212,1.33889
0,0,0.151168,0.460818,0.713072,0.286928,0.18896,0.307212,1.56851
0,0,0.151168,0.610818,0.780957,0.219043,0.18896,0.407212,1.6925
0,0,0.251168,-0.739182,0.821477,0.178523,0.31396,0.492788,1.78698
0,0,0.251168,-0.589182,0.779665,0.220335,0.31396,0.392788,1.71505
0,0,0.251168,-0.439182,0.714332,0.285668,0.31396,0.292788,1.60199
0,0,0.251168,-0.289182,0.602969,0.397031,0.31396,0.192788,1.40713
0,0,0.251168,-0.139182,0.40951,0.59049,0.31396,0.0927881,1.0592
0,0,0.251168,0.0108179,0.260048,0.739952,0.31396,0.00721193,0.757748
0,0,0.251168,0.160818,0.442643,0.557357,0.31396,0.107212,1.12003
0,0,0.251168,0.310818,0.623273,0.376727,0.31396,0.207212,1.44289
0,0,0.251168,0.460818,0.725871,0.274129,0.31396,0.307212,1.62202
0,0,0.251168,0.610818,0.786813,0.213187,0.31396,0.407212,1.72737
0,0,0.351168,-0.739182,0.826225,0.173775,0.43896,0.492788,1.81436
0,0,0.351168,-0.589182,0.78841,0.21159,0.43896,0.392788,1.75281
0,0,0.351168,-0.439182,0.73266,0.26734,0.43896,0.292788,1.66095
0,0,0.351168,-0.289182,0.648236,0.351764,0.43896,0.192788,1.5187
0,0,0.351168,-0.139182,0.534039,0.465961,0.43896,0.0927881,1.31585
0,0,0.351168,0.0108179,0.470311,0.529689,0.43896,0.00721193,1.17695
0,0,0.351168,0.160818,0.550845,0.449155,0.43896,0.107212,1.34701
0,0,0.351168,0.310818,0.66259,0.33741,0.43896,0.207212,1.54321
0,0,0.351168,0.460818,0.742188,0.257812,0.43896,0.307212,1.67675
0,0,0.351168,0.610818,0.794764,0.205236,0.43896,0.407212,1.76319
0,0,0.451168,-0.739182,0.831997,0.168003,0.56396,0.492788,1.84153
