dt,dt_traj,PredictTime,looprate,k_head,k_vel,thres_vel_time,thres_ang_time,d_scale,th_scale
0.2,0.1,3,5,1,1,3,3,1,1

timestep,pos.x,pos.y,linadm,linsafe,angadm,angsafe,vel_h_cost,ang_h_cost,cost,cal_vel.v,cal_val.w
0.436,-0.000661429,-5.44866e-08,0,1,0,1,0,0,0,0,0
0.459,-0.000661429,-5.44866e-08,0,1,0,1,0,0,0,0,0
0.663,-0.000667756,-5.30823e-08,0,1,0,1,0,0,0,0,0
0.873,-0.000671919,-5.21054e-08,0,1,0,1,0,0,0,0,0
1.067,-0.000681502,-5.31387e-08,0,1,0,1,0,0,0,0,0
1.269,-0.000685603,-5.27105e-08,0,1,0,1,0,0,0,0,0
1.468,-0.000692722,-5.63523e-08,0,1,0,1,0,0,0,0,0
1.671,-0.000698715,-5.95315e-08,0,1,0,1,0.799953,1.01597e-06,0.799954,0.160037,-1.52395e-06
1.892,0.00561415,-5.92804e-08,0.128889,0.871111,0,1,0.621902,1.27634e-05,0.670648,0.302478,-1.91451e-05
2.098,0.0395383,-2.94099e-07,0,1,0,1,0.71978,0.000433659,0.720213,0.224176,0.000650488
2.304,0.101793,-3.47835e-05,0,1,0,1,0.625827,0.00439928,0.630226,0.299338,0.00659892
2.499,0.150514,8.52758e-05,0,1,0,1,0.656835,0.00951612,0.666351,0.274532,-0.0142742
2.709,0.207895,0.000430924,0,1,0,1,0.707337,0.00875408,0.716091,0.234131,-0.0131311
2.903,0.258882,0.000602404,0,1,0,1,0.705569,0.00804203,0.713611,0.235545,-0.0120631
3.109,0.305758,0.000631174,0,1,0,1,0.657835,0.00739931,0.665235,0.273732,-0.011099
3.304,0.356607,0.000469621,0,1,0,1,0.6896,0.00447945,0.694079,0.24832,-0.00671917
3.505,0.40906,0.000133349,0,1,0,1,0.690384,0.0202222,0.710606,0.247693,0.118644
3.703,0.458648,-0.000206235,0.0990842,0.900916,0.766389,0.233611,0.439775,0.848053,1.45979,0,0.227921
3.905,0.496515,0.000153088,0.0976816,0.902318,0.766389,0.233611,0.532531,0.851311,1.54346,0,0.223034
4.079,0.509661,0.000476635,0,1,0,1,0.847102,0.70029,1.54739,0,0.449565
4.262,0.510048,0.000513449,0,1,0,1,0.852766,0.550441,1.40321,0,0.674339
4.463,0.510513,0.000617086,0,1,0,1,0.798745,0.41971,1.21845,0,0.870435
4.663,0.510916,0.000778402,0,1,0,1,0.898428,0.342621,1.24105,0,0.513932
4.859,0.511022,0.000873,0,1,0,1,0.911978,0.0599143,0.971892,0.0704179,0.0898714
5.077,0.515921,0.0039074,0,1,0,1,0.815754,0.0485,0.864254,0.147397,-0.07275
5.281,0.531093,0.0136165,0,1,0,1,0.848161,0.0571487,0.90531,0.121471,-0.0857231
5.482,0.552662,0.0273507,0,1,0,1,0.847432,0.0479549,0.895387,0.122054,-0.0719323
5.674,0.573399,0.0401817,0,1,0,1,0.894521,0.00583224,0.900353,0.0843831,-0.00874836
5.874,0.589869,0.0501347,0,1,0,1,0.742246,0.446826,1.18907,0,-0.308859
6.07,0.596679,0.0542289,0,1,0,1,0.797673,0.256557,1.05423,0,-0.594261
6.268,0.597422,0.0545961,0,1,0,1,0.800222,0.0895377,0.889759,0.159823,-0.844791
6.492,0.611536,0.0598687,0,1,0,1,0.753704,0.0674495,0.821153,0.197037,-0.705906
6.705,0.641015,0.0676771,0,1,0,1,0.70943,0.236673,0.946103,0.232456,-0.355009
6.914,0.682708,0.0742912,0,1,0,1,0.659708,0.136332,0.79604,0.272234,-0.204499
7.124,0.727579,0.0781297,0,1,0,1,0.632299,0.097315,0.729614,0.294161,-0.145972
7.32,0.782542,0.0800712,0,1,0,1,0.723022,0.00618442,0.729207,0.221582,0.00927663
7.521,0.828301,0.0803017,0,1,0,1,0.717691,0.0603491,0.77804,0.225847,-0.0905237
7.723,0.873039,0.0800164,0,1,0,1,0.663809,0.0462844,0.710093,0.268953,-0.0694266
7.92,0.920726,0.0791311,0,1,0,1,0.661614,0.0435929,0.705207,0.270709,-0.0653893
8.118,0.983473,0.0770224,0,1,0,1,0.662327,0.0397592,0.702086,0.270139,-0.0596387
8.324,1.03689,0.0745241,0,1,0,1,0.659531,0.0351469,0.694678,0.272375,-0.0527204
8.524,1.0915,0.0712999,0,1,0,1,0.70881,0.0197968,0.728606,0.232952,-0.0296952
8.725,1.14213,0.0678175,0,1,0,1,0.711627,0.0192329,0.73086,0.230698,-0.0288494
8.927,1.18832,0.064318,0,1,0,1,0.714514,0.0181412,0.732655,0.228389,-0.0272118
9.125,1.23391,0.0606149,0,1,0,1,0.666765,0.00733576,0.6741,0.266588,-0.0110036
9.324,1.28038,0.0570119,0,1,0,1,0.661111,0.0142648,0.675375,0.271112,-0.0213973
9.524,1.33437,0.053084,0,1,0,1,0.662856,0.0113374,0.674193,0.269715,-0.0170062
9.727,1.38839,0.048959,0,1,0,1,0.716002,0.0105529,0.726555,0.227198,-0.0158294
9.927,1.43821,0.0449561,0,1,0,1,0.615454,0.0104206,0.625875,0.307637,-0.0156309
10.124,1.47927,0.0414344,0,1,0,1,0.677132,0.0082829,0.685415,0.258295,0.0124244
10.325,1.53819,0.0360233,0,1,0,1,0.650991,0.0122681,0.663259,0.279207,0.0184022
10.523,1.60014,0.0302654,0,1,0,1,0.701221,0.012111,0.713332,0.239024,0.0181665
10.729,1.65231,0.0254926,0,1,0,1,0.604113,0.052488,0.656601,0.31671,0.078732
10.929,1.70615,0.0205561,0,1,0,1,0.705353,0.0212157,0.726568,0.235718,0.0318235
11.128,1.76583,0.0157905,0,1,0,1,0.678637,0.00180061,0.680438,0.25709,-0.00270091
11.323,1.81461,0.0127423,0,1,0,1,0.676921,0.0360286,0.71295,0.258463,0.0540429
11.525,1.86611,0.00958587,0,1,0,1,0.679731,0.0350324,0.714764,0.256215,0.0525486
11.73,1.90902,0.00730023,0,1,0,1,0.677429,0.0322101,0.709639,0.258057,0.0483152
11.936,1.96003,0.00505967,0,1,0,1,0.625836,0.0148649,0.640701,0.299331,-0.0222974
12.125,2.01242,0.00317703,0,1,0,1,0.675872,0.00577824,0.68165,0.259303,-0.00866737
12.33,2.07855,0.000809951,0,1,0,1,0.676242,0.00593822,0.682181,0.259006,-0.00890734
12.537,2.1303,-0.00117024,0,1,0,1,0.629113,0.0347882,0.663901,0.29671,0.0521823
12.728,2.18415,-0.003318,0,1,0,1,0.639002,0.0225696,0.661571,0.288798,0.0338544
12.932,2.2423,-0.00505361,0,1,0,1,0.642206,0.0320151,0.674221,0.286235,0.0480227
13.123,2.30006,-0.00634019,0,1,0,1,0.640606,0.0307999,0.671406,0.287515,0.0461999
13.334,2.35741,-0.00712713,0,1,0,1,0.693287,0.00992354,0.70321,0.245371,-0.0148853
13.532,2.41119,-0.00746875,0,1,0,1,0.646853,0.0234307,0.670283,0.282518,0.035146
13.738,2.46161,-0.00746982,0,1,0,1,0.686573,0.0228772,0.709451,0.250741,-0.0343159
13.937,2.51661,-0.00681664,0,1,0,1,0.684086,0.0161196,0.700205,0.252731,-0.0241794
14.153,2.55861,-0.00648574,0,1,0,1,0.683833,0.0264976,0.710331,0.252933,0.0397464
14.338,2.60911,-0.00631063,0,1,0,1,0.681554,0.0144294,0.695983,0.254757,-0.0216442
14.542,2.6679,-0.00597118,0,1,0,1,0.683202,0.00375591,0.686958,0.253439,-0.00563386
14.735,2.71924,-0.00588874,0,1,0,1,0.732258,0.0169711,0.749229,0.214193,-0.0254566
14.946,2.76638,-0.00599189,0,1,0,1,0.732187,0.0154468,0.747634,0.214251,-0.0231703
15.135,2.80923,-0.0062927,0,1,0,1,0.730166,0.014881,0.745047,0.215867,-0.0223214
15.34,2.85217,-0.00678502,0,1,0,1,0.577883,0.0244163,0.6023,0.337693,0.0366245
15.533,2.90143,-0.00754232,0,1,0,1,0.370482,0.0866559,0.457138,0.503614,0.129984
15.725,2.9581,-0.0083807,0,1,0,1,0.322391,0.00308877,0.32548,0.542087,0.00463316
15.928,3.05409,-0.0105988,0,1,0,1,0.375384,0.0287832,0.404167,0.499693,0.0431748
16.118,3.17622,-0.0136146,0,1,0,1,0.430389,0.0185627,0.448951,0.455689,0.027844
16.317,3.27248,-0.0157965,0,1,0,1,0.483139,0.0177774,0.500916,0.413489,0.0266662
16.519,3.35964,-0.0174079,0,1,0,1,0.491535,0.00712777,0.498663,0.406772,0.0106917
16.722,3.44122,-0.0183277,0,1,0,1,0.544168,0.00344877,0.547617,0.364666,-0.00517315
16.924,3.5193,-0.0189608,0,1,0,1,0.542357,0.119429,0.661786,0.366114,0.295386
17.129,3.59219,-0.019134,0,1,0,1,0.346482,0.590129,0.936611,0.522814,0.614807
17.319,3.67103,-0.0156737,0,1,0,1,0.413941,0.63119,1.04513,0,0.553215
17.517,3.7638,-0.00597033,0,1,0,1,0.467217,0.624388,1.09161,0,0.563418
17.73,3.81815,0.00332943,0,1,0,1,0.522854,0.627703,1.15056,0,0.558445
17.905,3.83635,0.00763174,0,1,0,1,0.835886,0.554868,1.39075,0,0.602646
18.106,3.83336,0.00663828,0,1,0,1,0.780279,0.025682,0.805961,0.175777,0.794134
18.329,3.84078,0.00990399,0,1,0,1,0.641493,0.027595,0.669088,0.286806,0.108982
