dt,dt_traj,PredictTime,looprate,k_head,k_vel,thres_vel_time,thres_ang_time,d_scale,th_scale
0.2,0.1,3,5,1,1,2,2,1,0.85

timestep,pos.x,pos.y,linadm,linsafe,angadm,angsafe,vel_h_cost,ang_h_cost,cost,cal_vel.v,cal_val.w,joy_v,joy_w
0.406,-0.000239116,-5.0302e-08,0,1,0,1,0,0,0,0,0,0,0
0.434,-0.000241062,-5.02167e-08,0,1,0,1,0,0,0,0,0,0,0
0.652,-0.000240832,-5.2444e-08,0,1,0,1,0,0,0,0,0,0,0
0.839,-0.000240657,-4.90279e-08,0,1,0,1,0.79981,6.7744e-06,0.799817,0.160152,3.40842e-06,0.8,0
1.073,0.00613101,-9.39957e-09,0,1,0,1,0.624088,2.57525e-06,0.624091,0.30073,2.43301e-06,0.8,0
1.272,0.0401201,-5.79017e-08,0,1,0,1,0.463971,3.72178e-05,0.464008,0.428823,-5.01393e-05,0.8,0
1.467,0.114365,-6.95252e-05,0,1,0,1,0.253689,0.00877259,0.262461,0.597049,-0.0164588,0.8,0
1.662,0.208716,0.000823259,0,1,0,1,0.0960567,0.00150303,0.0975597,0.723155,-0.00341469,0.8,0
1.847,0.313896,0.00189883,0,1,0,1,0.0338262,0.00670643,0.0405326,0.772939,0.0162874,0.8,0
2.042,0.437139,0.003033,0,1,0,1,0.0313737,0.00580844,0.0371822,0.774901,0.0141418,0.8,0
2.24,0.616978,0.00487266,0,1,0,1,0.0369537,0.00612873,0.0430824,0.770437,0.0148358,0.8,0
2.452,0.771427,0.00651922,0,1,0,1,0.0396252,0.00703323,0.0466584,0.7683,0.0169788,0.8,0
2.639,0.92502,0.0087734,0,1,0,1,0.0388072,0.0058731,0.0446803,0.768954,0.0141895,0.8,0
2.844,1.07853,0.0115627,0,1,0,1,0.0360023,0.00989852,0.0459008,0.771198,0.0239898,0.8,0
3.039,1.23262,0.0146676,0,1,0,1,0.0404472,0.00867405,0.0491212,0.767642,0.0209237,0.8,0
3.239,1.3863,0.0182689,0,1,0,1,0.0391235,0.00715591,0.0462794,0.768701,0.0172841,0.8,0
3.445,1.53949,0.0223219,0,1,0,1,0.045037,0.00843762,0.0534746,0.76397,-0.0202557,0.8,0
3.646,1.71874,0.0270674,0,1,0,1,0.0430339,0.00720547,0.0502394,0.765573,-0.017333,0.8,0
3.842,1.87146,0.0303778,0,1,0,1,0.0424726,0.00662214,0.0490947,0.766022,-0.0159387,0.8,0
4.05,2.02457,0.0331034,0,1,0,1,0.044471,0.00818452,0.0526555,0.764423,-0.0196595,0.8,0
4.251,2.17759,0.0353467,0,1,0,1,0.0442528,0.00749115,0.051744,0.764598,-0.0179975,0.8,0
4.446,2.30448,0.0367863,0,1,0,1,0.0422046,0.00677487,0.0489795,0.766236,-0.0163109,0.8,0
4.65,2.45753,0.0380535,0,1,0,1,0.0932843,0.00664299,0.0999273,0.725373,-0.0151404,0.8,0
4.855,2.60732,0.0389004,0,1,0,1,0.0429387,0.113529,0.156468,0.765649,0.285279,0.8,0
5.057,2.73078,0.0399187,0,1,0,1,0.00838043,0.142154,0.150534,0.793296,0.379873,0.8,0
5.25,2.91021,0.0492678,0,1,0,1,0.00711582,0.155763,0.162879,0.794307,0.423005,0.8,0
5.453,3.06786,0.0680824,0,1,0,1,0.00997078,0.169488,0.179459,0.792023,0.466684,0.8,0
