dt,dt_traj,PredictTime,looprate,k_head,k_vel,thres_vel_time,thres_ang_time,d_scale,th_scale
0.2,0.1,3,5,1,1,3,3,1,1

timestep,pos.x,pos.y,linadm,linsafe,angadm,angsafe,vel_h_cost,ang_h_cost,cost,cal_vel.v,cal_val.w
0.494,-0.00149433,-4.46105e-07,0,1,0,1,0,0,0,0,0
0.522,-0.00149451,-4.46825e-07,0,1,0,1,0,0,0,0,0
0.729,-0.00149395,-4.47169e-07,0,1,0,1,0,0,0,0,0
0.93,-0.00149374,-4.47643e-07,0,1,0,1,0,0,0,0,0
1.124,-0.00149248,-4.46381e-07,0,1,0,1,0,0,0,0,0
1.32,-0.00149211,-4.47079e-07,0,1,0,1,0,0,0,0,0
1.531,-0.00149182,-4.5054e-07,0,1,0,1,0,0,0,0,0
1.723,-0.00149153,-4.4968e-07,0,1,0,1,0,0,0,0,0
1.924,-0.00149141,-4.53019e-07,0,1,0,1,0,0,0,0,0
2.126,-0.00149085,-4.53245e-07,0,1,0,1,0,0,0,0,0
2.325,-0.00148864,-4.50049e-07,0,1,0,1,0,0,0,0,0
2.524,-0.00148826,-4.4995e-07,0,1,0,1,0,0,0,0,0
2.727,-0.00148802,-4.48012e-07,0,1,0,1,0,0,0,0,0
2.933,-0.00148697,-4.5066e-07,0,1,0,1,0,0,0,0,0
3.133,-0.00148642,-4.50993e-07,0,1,0,1,0,0,0,0,0
3.333,-0.00148607,-4.52794e-07,0,1,0,1,0,0,0,0,0
3.535,-0.0014832,-4.49179e-07,0,1,0,1,0,0,0,0,0
3.727,-0.00148457,-4.513e-07,0,1,0,1,0,0,0,0,0
3.931,-0.00148536,-4.50609e-07,0,1,0,1,0,0,0,0,0
4.129,-0.00148481,-4.50717e-07,0,1,0,1,0,0,0,0,0
4.328,-0.00148362,-4.54368e-07,0,1,0,1,0,0,0,0,0
4.536,-0.00147977,-4.52434e-07,0,1,0,1,0,0,0,0,0
4.73,-0.00148128,-4.53967e-07,0,1,0,1,0,0,0,0,0
4.931,-0.00148073,-4.55151e-07,0,1,0,1,0,0,0,0,0
5.132,-0.00148035,-4.56663e-07,0,1,0,1,0,0,0,0,0
5.338,-0.0014802,-4.54339e-07,0,1,0,1,0,0,0,0,0
5.537,-0.00147888,-4.56259e-07,0,1,0,1,0,0,0,0,0
5.737,-0.0014785,-4.5731e-07,0,1,0,1,0,0,0,0,0
5.937,-0.00147829,-4.57789e-07,0,1,0,1,0,0,0,0,0
6.132,-0.00147703,-4.56525e-07,0,1,0,1,0,0,0,0,0
6.341,-0.00147692,-4.60528e-07,0,1,0,1,0,0,0,0,0
6.538,-0.00147637,-4.60675e-07,0,1,0,1,0,0,0,0,0
6.738,-0.00147571,-4.58615e-07,0,1,0,1,0,0,0,0,0
6.934,-0.0014757,-4.60234e-07,0,1,0,1,0,0,0,0,0
7.132,-0.0014754,-4.6337e-07,0,1,0,1,0,0,0,0,0
7.335,-0.00147319,-4.6017e-07,0,1,0,1,0,0,0,0,0
7.534,-0.00147281,-4.60058e-07,0,1,0,1,0,0,0,0,0
7.734,-0.00147248,-4.62524e-07,0,1,0,1,0,0,0,0,0
7.941,-0.00147152,-4.60766e-07,0,1,0,1,0,0,0,0,0
8.146,-0.00147117,-4.62503e-07,0,1,0,1,0,0,0,0,0
