dt,dt_traj,PredictTime,looprate,k_head,k_vel,thres_vel_time,thres_ang_time,d_scale,th_scale
0.5,0.1,3,2,1,1,3,3,1,3.75

joyvel,joyang,CandVel,CandAng,adm,safe,vel_h_cost,ang_h_cost,cost
-0.8,-0,-0.0471314,0.00284887,1,0,0.941086,0.00189925,1
-0.8,-0,0,0,0,1,1,0,1
-0.8,-0,0.0528686,-0.747151,1,0,1.06609,0.498101,1
-0.8,-0,0.0528686,-0.597151,1,0,1.06609,0.398101,1
-0.8,-0,0.0528686,-0.447151,1,0,1.06609,0.298101,1
-0.8,-0,0.0528686,-0.297151,1,0,1.06609,0.198101,1
-0.8,-0,0.0528686,-0.147151,1,0,1.06609,0.0981008,1
-0.8,-0,0.0528686,0.00284887,1,0,1.06609,0.00189925,1
-0.8,-0,0.0528686,0.152849,1,0,1.06609,0.101899,1
-0.8,-0,0.0528686,0.302849,1,0,1.06609,0.201899,1
-0.8,-0,0.0528686,0.452849,1,0,1.06609,0.301899,1
-0.8,-0,0.0528686,0.602849,1,0,1.06609,0.401899,1
-0.8,-0,0.152869,-0.747151,1,0,1.19109,0.498101,1
-0.8,-0,0.152869,-0.597151,0.999395,0.000604685,1.19109,0.398101,1.00036
-0.8,-0,0.152869,-0.447151,0.999198,0.000802152,1.19109,0.298101,1.00039
-0.8,-0,0.152869,-0.297151,0.998815,0.00118465,1.19109,0.198101,1.00046
-0.8,-0,0.152869,-0.147151,0.997819,0.00218117,1.19109,0.0981008,1.00063
-0.8,-0,0.152869,0.00284887,0.995389,0.00461095,1.19109,0.00189925,1.00089
-0.8,-0,0.152869,0.152849,0.997883,0.00211724,1.19109,0.101899,1.00062
-0.8,-0,0.152869,0.302849,0.998836,0.00116379,1.19109,0.201899,1.00046
-0.8,-0,0.152869,0.452849,0.999208,0.000792359,1.19109,0.301899,1.00039
-0.8,-0,0.152869,0.602849,0.999401,0.000599067,1.19109,0.401899,1.00036
-0.8,-0,0.252869,-0.747151,0.99952,0.000480212,1.31609,0.498101,1.00039
-0.8,-0,0.252869,-0.597151,0.999404,0.000595866,1.31609,0.398101,1.00043
-0.8,-0,0.252869,-0.447151,0.999218,0.000781898,1.31609,0.298101,1.00048
-0.8,-0,0.252869,-0.297151,1,0,1.31609,0.198101,1
-0.8,-0,0.252869,-0.147151,1,0,1.31609,0.0981008,1
-0.8,-0,0.252869,0.00284887,1,0,1.31609,0.00189925,1
-0.8,-0,0.252869,0.152849,1,0,1.31609,0.101899,1
-0.8,-0,0.252869,0.302849,1,0,1.31609,0.201899,1
-0.8,-0,0.252869,0.452849,1,0,1.31609,0.301899,1
-0.8,-0,0.252869,0.602849,1,0,1.31609,0.401899,1
-0.8,-0,0.352869,-0.747151,1,0,1.44109,0.498101,1
-0.8,-0,0.352869,-0.597151,1,0,1.44109,0.398101,1
-0.8,-0,0.352869,-0.447151,1,0,1.44109,0.298101,1
-0.8,-0,0.352869,-0.297151,1,0,1.44109,0.198101,1
-0.8,-0,0.352869,-0.147151,1,0,1.44109,0.0981008,1
-0.8,-0,0.352869,0.00284887,1,0,1.44109,0.00189925,1
-0.8,-0,0.352869,0.152849,1,0,1.44109,0.101899,1
-0.8,-0,0.352869,0.302849,1,0,1.44109,0.201899,1
-0.8,-0,0.352869,0.452849,1,0,1.44109,0.301899,1
-0.8,-0,0.352869,0.602849,1,0,1.44109,0.401899,1
-0.8,-0,0.452869,-0.747151,1,0,1.56609,0.498101,1
-0.8,-0,0.452869,-0.597151,1,0,1.56609,0.398101,1
-0.8,-0,0.452869,-0.447151,1,0,1.56609,0.298101,1
-0.8,-0,0.452869,-0.297151,1,0,1.56609,0.198101,1
-0.8,-0,0.452869,-0.147151,1,0,1.56609,0.0981008,1
-0.8,-0,0.452869,0.00284887,1,0,1.56609,0.00189925,1
-0.8,-0,0.452869,0.152849,1,0,1.56609,0.101899,1
-0.8,-0,0.452869,0.302849,1,0,1.56609,0.201899,1
-0.8,-0,0.452869,0.452849,1,0,1.56609,0.301899,1
-0.8,-0,0.452869,0.602849,1,0,1.56609,0.401899,1

-0.8,-0,-0.0471314,0.00284887,1,0,0.941086,0.00189925,1
-0.8,-0,0,0,0,1,1,0,1
