dt,dt_traj,PredictTime,looprate,k_head,k_vel,thres_vel_time,thres_ang_time,d_scale,th_scale
0.2,0.1,3,5,1,1,3,3,1,1

timestep,pos.x,pos.y,linadm,linsafe,angadm,angsafe,vel_h_cost,ang_h_cost,cost,cal_vel.v,cal_val.w
0.485,-0.00162103,-2.12669e-07,0,1,0,1,0,0,0,0,0
0.508,-0.00162064,-2.15898e-07,0,1,0,1,0,0,0,0,0
0.713,-0.00162656,-2.15724e-07,0,1,0,1,0,0,0,0,0
0.915,-0.00163019,-2.15953e-07,0,1,0,1,0,0,0,0,0
1.118,-0.00163517,-2.19159e-07,0,1,0,1,0,0,0,0,0
1.313,-0.00164012,-2.21689e-07,0,1,0,1,0,0,0,0,0
1.52,-0.00164603,-2.23949e-07,0,1,0,1,0,0,0,0,0
1.709,-0.00164998,-2.22594e-07,0,1,0,1,0,0,0,0,0
1.922,-0.00165498,-2.22744e-07,0,1,0,1,0,0,0,0,0
2.119,-0.00165823,-2.20387e-07,0,1,0,1,0,0,0,0,0
2.312,-0.00166669,-2.21476e-07,0,1,0,1,0,0,0,0,0
2.516,-0.00166973,-2.21113e-07,0,1,0,1,0,0,0,0,0
2.716,-0.00167576,-2.24762e-07,0,1,0,1,0,0,0,0,0
2.912,-0.00168166,-2.25261e-07,0,1,0,1,0,0,0,0,0
3.117,-0.0016866,-2.28054e-07,0,1,0,1,0,0,0,0,0
3.317,-0.0016915,-2.30969e-07,0,1,0,1,0,0,0,0,0
3.526,-0.0016964,-2.33107e-07,0,1,0,1,0,0,0,0,0
3.72,-0.00169789,-2.26537e-07,0,1,0,1,0,0,0,0,0
3.913,-0.00170067,-2.32389e-07,0,1,0,1,0,0,0,0,0
4.114,-0.0017034,-2.33071e-07,0,1,0,1,0,0,0,0,0
4.32,-0.00170401,-2.32849e-07,0,1,0,1,0,0,0,0,0
4.517,-0.00170912,-2.31478e-07,0,1,0,1,0,0,0,0,0
4.721,-0.00171068,-2.34683e-07,0,1,0,1,0,0,0,0,0
4.922,-0.00171349,-2.35439e-07,0,1,0,1,0,0,0,0,0
5.124,-0.00171353,-2.32994e-07,0,1,0,1,0,0,0,0,0
5.314,-0.00171852,-2.37001e-07,0,1,0,1,0,0,0,0,0
5.53,-0.00172056,-2.34844e-07,0,1,0,1,0,0,0,0,0
5.72,-0.00172355,-2.39285e-07,0,1,0,1,0,0,0,0,0
5.92,-0.00172664,-2.38007e-07,0,1,0,1,0,0,0,0,0
6.122,-0.00172798,-2.39208e-07,0,1,0,1,0,0,0,0,0
6.321,-0.0017307,-2.42599e-07,0,1,0,1,0,0,0,0,0
6.519,-0.00173224,-2.41783e-07,0,1,0,1,0,0,0,0,0
6.726,-0.00173493,-2.3975e-07,0,1,0,1,0,0,0,0,0
6.924,-0.00173549,-2.42255e-07,0,1,0,1,0,0,0,0,0
7.124,-0.00173943,-2.43513e-07,0,1,0,1,0,0,0,0,0
7.326,-0.00174208,-2.44094e-07,0,1,0,1,0,0,0,0,0
7.523,-0.00174484,-2.44853e-07,0,1,0,1,0,0,0,0,0
7.724,-0.00174484,-2.42413e-07,0,1,0,1,0,0,0,0,0
7.918,-0.00174922,-2.45148e-07,0,1,0,1,0,0,0,0,0
8.127,-0.00175191,-2.48516e-07,0,1,0,1,0,0,0,0,0
8.342,-0.00175388,-2.47575e-07,0,1,0,1,0,0,0,0,0
8.527,-0.00175479,-2.49342e-07,0,1,0,1,0,0,0,0,0
8.72,-0.00175693,-2.52813e-07,0,1,0,1,0,0,0,0,0
