dt,dt_traj,PredictTime,looprate,k_head,k_vel,thres_vel_time,thres_ang_time,d_scale,th_scale
0.2,0.1,3,5,1,1,3,3,1,3

timestep,pos.x,pos.y,linadm,linsafe,angadm,angsafe,vel_h_cost,ang_h_cost,cost,cal_vel.v,cal_val.w
0.393,3.46205,9.26356,0,1,0,1,0,0,0,0,0
0.403,3.46205,9.26356,0,1,0,1,0,0,0,0,0
0.608,3.46225,9.26371,0,1,0,1,0,0,0,0,0
0.809,3.4625,9.2639,0,1,0,1,0,0,0,0,0
1.005,3.46272,9.26407,0,1,0,1,0,0,0,0,0
1.211,3.46298,9.26426,0,1,0,1,0,0,0,0,0
1.413,3.46323,9.26446,0,1,0,1,0,0,0,0,0
1.609,3.46345,9.26462,0,1,0,1,0,0,0,0,0
1.814,3.46369,9.26481,0,1,0,1,0,0,0,0,0
2.016,3.4639,9.26497,0,1,0,1,0,0,0,0,0
2.217,3.46414,9.26515,0,1,0,1,0,0,0,0,0
2.412,3.46439,9.26535,0,1,0,1,0,0,0,0,0
2.616,3.46456,9.26548,0,1,0,1,0,0,0,0,0
2.813,3.46483,9.2657,0,1,0,1,0,0,0,0,0
3.014,3.46503,9.26585,0,1,0,1,0,0,0,0,0
3.212,3.46525,9.26603,0,1,0,1,0,0,0,0,0
