CandVel,CandAng,dist,velnormdist,angnormdist,vel_h_cost,ang_h_cost
0.0991831,-0.299978,1.38481,1,0.642912,0.00102111,2.24946e-05,
0.0991831,-0.224978,1.34422,1,0.643883,0.00102111,2.24946e-05,
0.0991831,-0.149978,1.31428,1,0.645824,0.00102111,2.24946e-05,
0.0991831,-0.0749775,1.29586,1,0.65165,0.00102111,2.24946e-05,
0.0991831,2.24946e-05,1.28948,1,1,0.00102111,2.24946e-05,
0.0991831,0.0750225,1.29461,1,0.570139,0.00102111,2.24946e-05,
0.0991831,0.150022,1.31139,1,0.605064,0.00102111,2.24946e-05,
0.0991831,0.225022,1.33975,1,0.616708,0.00102111,2.24946e-05,
0.0991831,0.300022,1.37889,1,0.622531,0.00102111,2.24946e-05,
0.149183,-0.299978,1.17539,1,0.642912,0.00102111,2.24946e-05,
0.149183,-0.224978,1.12223,1,0.643883,0.00102111,2.24946e-05,
0.149183,-0.149978,1.0826,1,0.645824,0.00102111,2.24946e-05,
0.149183,-0.0749775,1.05801,1,0.65165,0.00102111,2.24946e-05,
0.149183,2.24946e-05,1.04949,1,1,0.00102111,2.24946e-05,
0.149183,0.0750225,1.05641,1,0.570139,0.00102111,2.24946e-05,
0.149183,0.150022,1.07902,1,0.605064,0.00102111,2.24946e-05,
0.149183,0.225022,1.11682,1,0.616708,0.00102111,2.24946e-05,
0.149183,0.300022,1.16835,1,0.622531,0.00102111,2.24946e-05,
0.199183,-0.299978,0.970566,1,0.642912,0.00102111,2.24946e-05,
0.199183,-0.224978,0.9035,1,0.643883,0.00102111,2.24946e-05,
0.199183,-0.149978,0.852654,1,0.645824,0.00102111,2.24946e-05,
0.199183,-0.0749775,0.820662,1,0.65165,0.00102111,2.24946e-05,
0.199183,2.24946e-05,0.809493,1,1,0.00102111,2.24946e-05,
0.199183,0.0750225,0.818516,1,0.570139,0.00102111,2.24946e-05,
0.199183,0.150022,0.848015,1,0.605064,0.00102111,2.24946e-05,
0.199183,0.225022,0.896693,1,0.616708,0.00102111,2.24946e-05,
0.199183,0.300022,0.961969,1,0.622531,0.00102111,2.24946e-05,
-0.000779471,2.08377e-05,1.75145,1,1,0.000974339,2.08377e-05,
0,0,1.75519,1,1,0.000974339,2.08377e-05,
0.0492205,-0.299979,1.58759,1,0.645824,0.000974339,2.08377e-05,
0.0492205,-0.224979,1.55832,1,0.647765,0.000974339,2.08377e-05,
0.0492205,-0.149979,1.53687,1,0.651649,0.000974339,2.08377e-05,
0.0492205,-0.0749792,1.52365,1,0.6633,0.000974339,2.08377e-05,
0.0492205,2.08377e-05,1.51894,1,1,0.000974339,2.08377e-05,
0.0492205,0.0750208,1.52283,1,0.616713,0.000974339,2.08377e-05,
0.0492205,0.150021,1.53524,1,0.628355,0.000974339,2.08377e-05,
0.0492205,0.225021,1.55591,1,0.632236,0.000974339,2.08377e-05,
0.0492205,0.300021,1.58444,1,0.634177,0.000974339,2.08377e-05,
0.0992205,-0.299979,1.37561,1,0.645824,0.000974339,2.08377e-05,
0.0992205,-0.224979,1.33463,1,0.647765,0.000974339,2.08377e-05,
0.0992205,-0.149979,1.30434,1,0.651649,0.000974339,2.08377e-05,
0.0992205,-0.0749792,1.28558,1,0.6633,0.000974339,2.08377e-05,
0.0992205,2.08377e-05,1.27894,1,1,0.000974339,2.08377e-05,
0.0992205,0.0750208,1.28461,1,0.616713,0.000974339,2.08377e-05,
0.0992205,0.150021,1.30242,1,0.628355,0.000974339,2.08377e-05,
0.0992205,0.225021,1.33182,1,0.632236,0.000974339,2.08377e-05,
0.0992205,0.300021,1.37197,1,0.634177,0.000974339,2.08377e-05,
0.149221,-0.299979,1.16653,1,0.645824,0.000974339,2.08377e-05,
0.149221,-0.224979,1.1129,1,0.647765,0.000974339,2.08377e-05,
0.149221,-0.149979,1.07282,1,0.651649,0.000974339,2.08377e-05,
0.149221,-0.0749792,1.04781,1,0.6633,0.000974339,2.08377e-05,
0.149221,2.08377e-05,1.03894,1,1,0.000974339,2.08377e-05,
0.149221,0.0750208,1.04662,1,0.616713,0.000974339,2.08377e-05,
0.149221,0.150021,1.07049,1,0.628355,0.000974339,2.08377e-05,
0.149221,0.225021,1.10953,1,0.632236,0.000974339,2.08377e-05,
0.149221,0.300021,1.16224,1,0.634177,0.000974339,2.08377e-05,
-0.00109551,3.02179e-05,1.74994,1,1,0.00136939,3.02179e-05,
0,0,1.75519,1,1,0.00136939,3.02179e-05,
0.0489045,-0.29997,1.58893,1,0.645824,0.00136939,3.02179e-05,
0.0489045,-0.22497,1.55974,1,0.647766,0.00136939,3.02179e-05,
0.0489045,-0.14997,1.53834,1,0.651649,0.00136939,3.02179e-05,
0.0489045,-0.0749698,1.52515,1,0.663303,0.00136939,3.02179e-05,
0.0489045,3.02179e-05,1.52045,1,1,0.00136939,3.02179e-05,
0.0489045,0.0750302,1.52434,1,0.616715,0.00136939,3.02179e-05,
0.0489045,0.15003,1.53672,1,0.628355,0.00136939,3.02179e-05,
0.0489045,0.22503,1.55734,1,0.632236,0.00136939,3.02179e-05,
0.0489045,0.30003,1.58579,1,0.634177,0.00136939,3.02179e-05,
0.0989045,-0.29997,1.37694,1,0.645824,0.00136939,3.02179e-05,
0.0989045,-0.22497,1.33604,1,0.647766,0.00136939,3.02179e-05,
0.0989045,-0.14997,1.3058,1,0.651649,0.00136939,3.02179e-05,
0.0989045,-0.0749698,1.28709,1,0.663303,0.00136939,3.02179e-05,
0.0989045,3.02179e-05,1.28046,1,1,0.00136939,3.02179e-05,
0.0989045,0.0750302,1.28612,1,0.616715,0.00136939,3.02179e-05,
0.0989045,0.15003,1.30389,1,0.628355,0.00136939,3.02179e-05,
0.0989045,0.22503,1.33324,1,0.632236,0.00136939,3.02179e-05,
0.0989045,0.30003,1.37332,1,0.634177,0.00136939,3.02179e-05,
0.148904,-0.29997,1.16783,1,0.645824,0.00136939,3.02179e-05,
0.148904,-0.22497,1.11429,1,0.647766,0.00136939,3.02179e-05,
0.148904,-0.14997,1.07427,1,0.651649,0.00136939,3.02179e-05,
0.148904,-0.0749698,1.04931,1,0.663303,0.00136939,3.02179e-05,
0.148904,3.02179e-05,1.04046,1,1,0.00136939,3.02179e-05,
0.148904,0.0750302,1.04812,1,0.616715,0.00136939,3.02179e-05,
0.148904,0.15003,1.07196,1,0.628355,0.00136939,3.02179e-05,
0.148904,0.22503,1.11094,1,0.632236,0.00136939,3.02179e-05,
0.148904,0.30003,1.16356,1,0.634177,0.00136939,3.02179e-05,
-0.00107068,2.80186e-05,1.75005,1,1,0.00133835,2.80186e-05,
0,0,1.75519,1,1,0.00133835,2.80186e-05,
0.0489293,-0.299972,1.58883,1,0.645824,0.00133835,2.80186e-05,
0.0489293,-0.224972,1.55963,1,0.647766,0.00133835,2.80186e-05,
0.0489293,-0.149972,1.53822,1,0.651649,0.00133835,2.80186e-05,
0.0489293,-0.074972,1.52504,1,0.663303,0.00133835,2.80186e-05,
0.0489293,2.80186e-05,1.52034,1,1,0.00133835,2.80186e-05,
0.0489293,0.075028,1.52422,1,0.616715,0.00133835,2.80186e-05,
0.0489293,0.150028,1.5366,1,0.628355,0.00133835,2.80186e-05,
0.0489293,0.225028,1.55722,1,0.632236,0.00133835,2.80186e-05,
0.0489293,0.300028,1.58568,1,0.634177,0.00133835,2.80186e-05,
0.0989293,-0.299972,1.37683,1,0.645824,0.00133835,2.80186e-05,
0.0989293,-0.224972,1.33593,1,0.647766,0.00133835,2.80186e-05,
0.0989293,-0.149972,1.30569,1,0.651649,0.00133835,2.80186e-05,
0.0989293,-0.074972,1.28697,1,0.663303,0.00133835,2.80186e-05,
0.0989293,2.80186e-05,1.28034,1,1,0.00133835,2.80186e-05,
0.0989293,0.075028,1.286,1,0.616715,0.00133835,2.80186e-05,
0.0989293,0.150028,1.30378,1,0.628355,0.00133835,2.80186e-05,
0.0989293,0.225028,1.33313,1,0.632236,0.00133835,2.80186e-05,
0.0989293,0.300028,1.37321,1,0.634177,0.00133835,2.80186e-05,
0.148929,-0.299972,1.16773,1,0.645824,0.00133835,2.80186e-05,
0.148929,-0.224972,1.11418,1,0.647766,0.00133835,2.80186e-05,
0.148929,-0.149972,1.07416,1,0.651649,0.00133835,2.80186e-05,
0.148929,-0.074972,1.04919,1,0.663303,0.00133835,2.80186e-05,
0.148929,2.80186e-05,1.04034,1,1,0.00133835,2.80186e-05,
0.148929,0.075028,1.04801,1,0.616715,0.00133835,2.80186e-05,
0.148929,0.150028,1.07184,1,0.628355,0.00133835,2.80186e-05,
0.148929,0.225028,1.11082,1,0.632236,0.00133835,2.80186e-05,
0.148929,0.300028,1.16345,1,0.634177,0.00133835,2.80186e-05,
-0.00134126,3.74313e-05,1.74876,1,1,0.00167657,3.74313e-05,
0,0,1.75519,1,1,0.00167657,3.74313e-05,
0.0486587,-0.299963,1.58998,1,0.645824,0.00167657,3.74313e-05,
0.0486587,-0.224963,1.56084,1,0.647766,0.00167657,3.74313e-05,
0.0486587,-0.149963,1.53948,1,0.65165,0.00167657,3.74313e-05,
0.0486587,-0.0749626,1.52632,1,0.663305,0.00167657,3.74313e-05,
0.0486587,3.74313e-05,1.52163,1,1,0.00167657,3.74313e-05,
0.0486587,0.0750374,1.52551,1,0.616718,0.00167657,3.74313e-05,
0.0486587,0.150037,1.53786,1,0.628356,0.00167657,3.74313e-05,
0.0486587,0.225037,1.55844,1,0.632237,0.00167657,3.74313e-05,
0.0486587,0.300037,1.58684,1,0.634177,0.00167657,3.74313e-05,
0.0986587,-0.299963,1.37797,1,0.645824,0.00167657,3.74313e-05,
0.0986587,-0.224963,1.33713,1,0.647766,0.00167657,3.74313e-05,
0.0986587,-0.149963,1.30694,1,0.65165,0.00167657,3.74313e-05,
