dt,dt_traj,PredictTime,looprate,k_head,k_vel,thres_vel_time,thres_ang_time,d_scale,th_scale
0.2,0.1,3,5,1,1,3,3,1,1

timestep,pos.x,pos.y,adm,safe,vel_h_cost,ang_h_cost,cost,cal_vel.v,cal_val.w
10.817,4.97511,4.48119,0,1,0.00583464,0.12691,0.132744,0.00466771,-1.1013
11.018,4.9765,4.47597,0,1,0.018446,0.0663347,0.0847807,0.0147568,-1.2916
11.222,4.97644,4.47671,0,1,0.0170757,0.0516692,0.0687449,0.0136605,-1.33768
11.423,4.97605,4.47379,0,1,0.00812401,0,0.00812401,0.00649921,-1.5
11.623,4.97557,4.47273,0,1,0.00692873,0,0.00692873,0.00554298,-1.5
11.824,4.97475,4.47184,0,1,0.0111428,0.343775,0.354917,0.00891424,-1.08
12.024,4.9708,4.46914,0,1,0.0367587,0.0947068,0.131465,0.029407,-0.29753
12.224,4.96249,4.46421,0,1,0,0,0,0,0
12.424,4.96238,4.46409,0,1,0.794655,0.0486718,0.843327,0.164276,0.0253166
12.625,4.95374,4.45965,0,1,0.59094,0.0263243,0.617264,0.327248,0.0271254
12.825,4.91394,4.43973,0,1,0.518698,0.0178539,0.536552,0.385041,-0.0216196
13.025,4.85214,4.40583,0,1,0.368728,0.161465,0.530193,0.505017,0.28067
13.226,4.77609,4.36391,0,1,0.10223,0.191644,0.293873,0.718216,0.493539
13.427,4.6841,4.30953,0.491071,0.508929,0.0353981,0.0621939,0.540738,0.771682,0.152726
13.627,4.56287,4.23366,0,1,0.283763,0.0738862,0.357649,0.572989,0.446264
13.828,4.44364,4.15448,0.384403,0.615597,0.0025824,0.185509,0.500192,0.797934,0.43389
14.028,4.31841,4.06381,0.376253,0.623747,0.707831,0.316991,1.01548,0.566265,0.504143
14.228,4.20981,3.97814,0,1,0.508643,0.310834,0.819477,0.406915,0.523487
14.428,4.14261,3.91993,0,1,0.34114,0.329366,0.670506,0.272912,0.465267
14.628,4.09258,3.87425,0,1,0.624596,0.00777109,0.632367,0.300323,0.53144
14.83,4.03844,3.81688,0,1,0.478975,0.0172491,0.496225,0.41682,0.688866
15.031,3.99214,3.75575,0,1,0.237177,0.0332874,0.270465,0.540843,0.866861
15.231,3.94383,3.67636,0,1,0.176993,0.319995,0.496989,0.658406,1.03745
15.431,3.89535,3.57388,0,1,0.17161,0.332287,0.503897,0.662712,1.13918
15.631,3.86262,3.46852,0,1,0.181316,0.350395,0.531712,0.654947,1.28936
15.832,3.84875,3.33835,0,1,0.18087,0.365516,0.546386,0.655304,1.45763
16.034,3.86185,3.2167,0,1,0.269233,0.373699,0.642931,0.584614,1.39522
16.234,3.89707,3.10144,0.516395,0.483605,0.0666762,0.286401,0.687145,0.746659,0.940435
16.438,3.95699,2.99642,0.574127,0.425873,0.0111345,0.565022,0.819496,0.791092,0.658562
16.639,4.0727,2.8609,0.583992,0.416008,0.0621223,0.464396,0.803028,0.750302,0.298033
16.841,4.18287,2.75724,0.628269,0.371731,0.0131945,0.335551,0.757909,0.789444,-0.0210637
17.041,4.30056,2.65424,0.518833,0.481167,0.259735,0.0396979,0.66291,0.592212,-0.0742428
17.242,4.38434,2.58239,0.511225,0.488775,0.411959,0.00373223,0.714405,0.470433,-0.00551615
17.442,4.49505,2.49451,0.832865,0.167135,0.306335,0.362766,0.944695,0.554932,0.316858
17.645,4.56985,2.44582,0.936322,0.0636777,0.43835,0.00421026,0.964503,0.35068,0.0132269
17.845,4.66707,2.39145,1,0,0.602753,0.372507,1,0.482202,1.17027
18.046,4.74893,2.35864,1,0,0.13738,0.36122,1,0.109904,1.1348
18.246,4.7736,2.35492,0.345977,0.654023,0.029925,0.000991717,0.366197,0.02394,-0.00311557
18.446,4.77156,2.35488,0.177075,0.822925,0.0177294,0.00299422,0.194128,-0.0141835,0.00940662
18.647,4.76836,2.35508,0.731396,0.268604,0.0108823,0.051083,0.74804,0.00870583,0.160482
18.848,4.763,2.35493,0.230492,0.769508,0.00260602,0.00507321,0.236401,-0.00208482,0.0159379
19.048,4.7621,2.35487,0.055213,0.944787,0.00076212,0.0151755,0.0702707,0.000609696,-0.0476752
19.249,4.76202,2.35486,0.0718151,0.928185,0.00128935,0.0138178,0.0858374,0.00103148,-0.04341
19.449,4.76207,2.35486,0.0850977,0.914902,0.0018104,0.0125819,0.0982653,0.00144832,-0.0395272
19.65,4.76224,2.35488,0.0964488,0.903551,0.00232559,0.0114497,0.108895,0.00186047,-0.0359702
19.851,4.76247,2.35491,0.106507,0.893493,0.00283593,0.0104122,0.118344,0.00226875,-0.0327109
20.051,4.76279,2.35493,0.115613,0.884387,0.00334161,0.00946072,0.126936,0.00267329,-0.0297217
20.252,4.76326,2.35497,0.0772372,0.922763,0.00149139,0.0089949,0.0869135,0.00119312,-0.0282583
20.453,4.76344,2.35498,-0.0371433,1.03714,0.000344906,0.00855459,-0.0279133,-0.000275925,-0.026875
20.652,4.76333,2.35498,-0.0932187,1.09322,0.00217243,0.00813382,-0.0819517,-0.00173794,-0.0255531
