dt,dt_traj,PredictTime,looprate,k_head,k_vel,thres_vel_time,thres_ang_time,d_scale,th_scale
0.2,0.1,3,5,1,1,2,2,1,0.85

timestep,pos.x,pos.y,linadm,linsafe,angadm,angsafe,vel_h_cost,ang_h_cost,cost,cal_vel.v,cal_val.w,joy_v,joy_w
0.43,-0.000227872,-1.81101e-07,0,1,0,1,0,0,0,0,0,0,0
0.476,-0.000227989,-1.82086e-07,0,1,0,1,0,0,0,0,0,0,0
0.677,-0.000227626,-1.83302e-07,0,1,0,1,0,0,0,0,0,0,0
0.863,-0.000225616,-1.84052e-07,0,1,0,1,0.709696,2.0301e-05,0.709716,0.162828,-1.03848e-05,0.730585,0
1.077,0.00612853,-2.65499e-08,0,1,0,1,0.623624,3.0022e-06,0.623627,0.301101,2.83989e-06,0.8,0
1.296,0.0440808,-1.84981e-07,0,1,0,1,0.422843,0.000358554,0.423202,0.461726,0.000520102,0.8,0
1.489,0.106733,1.01911e-05,0,1,0,1,0.291997,0.0108513,0.302848,0.566403,0.0193164,0.8,0
1.678,0.217259,0.000443072,0,1,0,1,0.0921733,0.00849649,0.10067,0.726261,0.0193903,0.8,0
1.87,0.31814,0.00117307,0,1,0,1,0.0157438,0.00348065,0.0192245,0.787405,0.00861044,0.8,0
2.062,0.46688,0.00190296,0,1,0,1,0.0154122,0.00330364,0.0187159,0.78767,0.00817528,0.8,0
2.26,0.597541,0.00269132,0,1,0,1,0.0168499,0.00285168,0.0197016,0.78652,0.00704649,0.8,0
2.467,0.781736,0.00407586,0,1,0,1,0.0179758,0.00268684,0.0206626,0.785619,0.00663154,0.8,0
2.665,0.938969,0.00548994,0,1,0,1,0.0183874,0.00243223,0.0208196,0.78529,0.00600057,0.8,0
2.863,1.09601,0.00710083,0,1,0,1,0.0151851,0.00274631,0.0179315,0.787852,0.00679759,0.8,0
3.069,1.25342,0.0089023,0,1,0,1,0.0162746,0.0026308,0.0189054,0.78698,0.00650447,0.8,0
3.268,1.41091,0.0109054,0,1,0,1,0.0189252,0.00270308,0.0216283,0.78486,0.00666516,0.8,0
3.466,1.56805,0.0130957,0,1,0,1,0.0162952,0.00267601,0.0189712,0.786964,0.00661611,0.8,0
3.671,1.7253,0.0154799,0,1,0,1,0.0170309,0.00248108,0.0195119,0.786375,0.00612956,0.8,0
3.869,1.88263,0.0180607,0,1,0,1,0.0175493,0.00202628,0.0195756,0.785961,0.00500329,0.8,0
4.067,2.0398,0.0208173,0,1,0,1,0.0148078,0.00251602,0.0173239,0.788154,0.00622995,0.8,0
4.278,2.22325,0.0242392,0,1,0,1,0.0153959,0.00174207,0.017138,0.787683,0.00431092,0.8,0
4.477,2.35485,0.0268408,0,1,0,1,0.01407,0.0224676,0.0365376,0.788744,-0.0557654,0.8,0
4.678,2.51219,0.0297834,0,1,0,1,0.0652826,0.0301655,0.0954481,0.747774,-0.0710776,0.8,0
4.881,2.64075,0.0310908,0,1,0,1,0.161852,0.0317884,0.19364,0.670519,-0.0671857,0.8,0
5.083,2.78708,0.0310346,0,1,0,1,0.242138,0.0261739,0.268312,0.60629,-0.0499665,0.8,0
5.293,2.93973,0.0294215,0,1,0,1,0.295481,0.0343033,0.329784,0.563615,-0.0609753,0.8,0
5.498,3.05754,0.0274827,0,1,0,1,0.345311,0.0333332,0.378644,0.523751,-0.0550483,0.8,0
5.697,3.16638,0.0246705,0,1,0,1,0.440448,0.0184255,0.458873,0.447642,0.025941,0.8,0
5.903,3.26592,0.02108,0,1,0,1,0.439205,0.0278407,0.467046,0.448636,-0.0393399,0.8,0
6.1,3.37023,0.0169874,0,1,0,1,0.489769,0.0281673,0.517936,0.408185,-0.036215,0.8,-0
6.302,3.45598,0.0132048,0,1,0,1,0.482607,0.14727,0.629877,0.413914,0.29436,0.8,1.5
6.505,3.52446,0.0104414,0,1,0,1,0.332129,0.0835634,0.415692,0.534297,0.570685,0.8,1.5
6.699,3.59596,0.0103978,0,1,0,1,0.405261,0.0796736,0.484935,0.475791,0.520807,0.8,1.5
6.894,3.71395,0.0184204,0,1,0,1,0.206238,0.0718497,0.278088,0.635009,0.730355,0.8,1.5
7.088,3.81398,0.0353238,0,1,0,1,0.18517,0.0845962,0.269767,0.651864,0.691746,0.8,1.5
7.284,3.93515,0.0683722,0,1,0,1,0.0423363,0.0725292,0.114866,0.766131,0.877374,0.8,1.5
7.474,4.05949,0.118124,0,1,0,1,0.362361,0.0617074,0.424069,0.510111,0.625908,0.8,1.5
7.684,4.18639,0.184895,0,1,0,1,0.118235,0.0641214,0.182356,0.53181,0.782323,0.626398,1.5
7.887,4.27656,0.244871,0,1,0,1,0.407579,0.174835,0.582414,0.326063,0.95074,-0,1.5
8.097,4.3518,0.310641,0,1,0,1,0.290321,0.169491,0.459812,0.232256,0.967528,-0,1.5
8.296,4.39654,0.36198,0,1,0,1,0.116068,0.275495,0.391563,0.0928542,0.634507,-0,1.5
8.505,4.41875,0.395769,0,1,0,1,0.0167156,0.140725,0.157441,0.0133724,1.0579,-0,1.5
8.699,4.42526,0.410036,0,1,0,1,0.769583,0.191073,0.960656,0.184333,0.627995,0.8,0.653593
8.923,4.42789,0.424237,0,1,0,1,0.551076,0.263391,0.814468,0.359139,0.390703,0.8,-0
9.126,4.43021,0.463151,0,1,0,1,0.599933,0.336009,0.935942,0.320054,0.565268,0.8,-0
9.325,4.42634,0.513625,0,1,0,1,0.353763,0.0938966,0.44766,0.51699,0.157087,0.8,-0
9.511,4.41756,0.565806,0,1,0,1,0.698996,0.356756,1.05575,0,0.498482,0.8,-0
9.711,4.39,0.653177,0,1,0,1,0.737435,0.306165,1.0436,0,0.301211,0.8,-0
9.897,4.37011,0.694629,0,1,0.544375,0.455625,0.567411,0.540435,1.35802,0,0.32816,0.8,-1.09306
10.089,4.36588,0.701617,0,1,0,1,0.797667,0.348514,1.14618,0,0.00227436,0.8,-1.5
10.291,4.3651,0.702678,0,1,0,1,0.799828,0.00294161,0.80277,0.160137,-0.293689,0.8,-1.5
10.513,4.3592,0.710411,0,1,0,1,0.550569,0.0266878,0.577257,0.359545,-0.556276,0.8,-1.5
10.701,4.3356,0.74246,0,1,0,1,0.734474,0.37989,1.11436,0,0.0270117,0.8,-1.45119
