dt,dt_traj,PredictTime,looprate,k_head,k_vel,thres_vel_time,thres_ang_time,d_scale,th_scale
0.2,0.1,3,5,1,1,3,3,1,3

timestep,pos.x,pos.y,linadm,linsafe,angadm,angsafe,vel_h_cost,ang_h_cost,cost,cal_vel.v,cal_val.w
13.7,0.30649,9.60148,0,1,0,1,0.763425,0.764036,1.52746,0,0.353946
13.889,0.29078,9.60176,0,1,0,1,0.702967,0.480327,1.18329,0,0.779509
14.098,0.286525,9.60153,0,1,0,1,0.554394,0.616361,1.17076,0,0.575459
14.293,0.278138,9.60073,0,1,0,1,0.667176,0.552627,1.2198,0,0.67106
14.496,0.274301,9.60014,0,1,0,1,0.796207,0.428017,1.22422,0,0.857975
14.693,0.272623,9.59973,0,1,0,1,0.810118,0.391527,1.20165,0,0.912709
14.894,0.275136,9.60096,0,1,0,1,0.819567,0.385036,1.2046,0,0.922445
15.095,0.275359,9.60107,0,1,0,1,0.802789,0.0164577,0.819247,0.157769,1.00383
15.309,0.264372,9.59099,0,1,0,1,0.559012,0.338891,0.897903,0.35279,0.508336
15.52,0.241716,9.56464,0,1,0,1,0.450806,0.161065,0.611871,0.439355,0.241597
15.722,0.209528,9.51903,0,1,0,1,0.248125,0.185496,0.433621,0.6015,0.278244
15.92,0.163519,9.44402,0,1,0,1,0.206188,0.207145,0.413334,0.635049,0.310718
16.116,0.112481,9.34217,0,1,0,1,0.00467287,0.196857,0.20153,0.796262,0.295285
16.312,0.0634153,9.22329,0,1,0,1,0.0318427,0.15234,0.184182,0.774526,0.228509
16.508,0.0187118,9.07774,0,1,0,1,0.0338785,0.169329,0.203208,0.772897,0.253994
16.708,-0.0245295,8.90214,0,1,0,1,0.0372472,0.161678,0.198926,0.770202,0.242518
16.908,-0.0538566,8.75083,0,1,0,1,0.0297377,0.117333,0.147071,0.77621,0.176
17.116,-0.0770363,8.59801,0,1,0,1,0.0310565,0.115562,0.146618,0.775155,0.173343
17.315,-0.0952998,8.44418,0,1,0,1,0.0316033,0.108846,0.14045,0.774717,0.163269
17.515,-0.108665,8.29002,0,1,0,1,0.0333603,0.106404,0.139764,0.773312,0.159606
17.717,-0.117348,8.13562,0,1,0,1,0.0354862,0.090934,0.12642,0.771611,0.136401
17.916,-0.121752,7.98129,0,1,0,1,0.0324349,0.0834282,0.115863,0.774052,0.125142
18.114,-0.122453,7.82682,0,1,0,1,0.0401515,0.0914735,0.131625,0.767879,0.13721
18.316,-0.119343,7.67286,0,1,0,1,0.0365288,0.0877559,0.124285,0.770777,0.131634
18.518,-0.113793,7.54535,0,1,0,1,0.030661,0.0529132,0.0835741,0.775471,0.0793698
18.714,-0.103934,7.39103,0,1,0,1,0.0308729,0.0523668,0.0832397,0.775302,0.0785501
18.913,-0.0917565,7.23669,0,1,0,1,0.0278998,0.0562901,0.0841898,0.77768,0.0844351
19.115,-0.077603,7.0821,0,1,0,1,0.0279461,0.0378184,0.0657645,0.777643,0.0567276
19.314,-0.0613571,6.92753,0,1,0,1,0.0244591,0.0322871,0.0567461,0.780433,0.0484306
19.517,-0.0400793,6.74654,0,1,0,1,0.0728978,0.00567357,0.0785714,0.741682,-0.00851035
19.72,-0.0202287,6.59885,0,1,0,1,0.0342835,0.00757413,0.0418576,0.772573,0.0113612
19.919,0.00228292,6.44917,0,1,0,1,0.0321829,0.00620149,0.0383844,0.774254,0.00930224
20.115,0.0262383,6.29624,0,1,0,1,0.0324442,0.0123474,0.0447916,0.774045,0.0185211
20.322,0.0506973,6.14354,0,1,0,1,0.0351755,0.0149788,0.0501543,0.77186,0.0224683
20.523,0.0759876,5.99084,0,1,0,1,0.03785,0.0157794,0.0536294,0.76972,0.0236691
20.719,0.101946,5.83894,0,1,0,1,0.0369247,0.00821657,0.0451413,0.77046,0.0123249
20.919,0.128516,5.6874,0,1,0,1,0.043791,0.0434149,0.0872059,0.764967,-0.0651223
21.124,0.150722,5.56182,0,1,0,1,0.042977,0.0405074,0.0834844,0.765618,-0.0607611
21.322,0.175839,5.41078,0,1,0,1,0.0446455,0.044471,0.0891165,0.764284,-0.0667065
21.522,0.202952,5.23392,0,1,0,1,0.0027429,0.00885936,0.0116023,0.797806,-0.013289
21.719,0.225557,5.08016,0,1,0,1,0.00854364,0.0433723,0.051916,0.793165,-0.0650585
21.921,0.248354,4.92295,0,1,0,1,0.0594427,0.0021975,0.0616402,0.752446,0.00329624
22.126,0.269222,4.7711,0,1,0,1,0.0142343,0.0586801,0.0729144,0.788613,-0.0880201
22.323,0.289793,4.61827,0,1,0,1,0.0144715,0.0497618,0.0642333,0.788423,-0.0746427
22.524,0.308456,4.46174,0,1,0,1,0.0124568,0.0368732,0.04933,0.790035,-0.0553098
